season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Slumber Party Panic,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finn picks up a serving platter and open the lid, revealing a Candy Person corpse."
1,10,0110,Memories of Boom Boom Mountain,2,2,1,2,8,Mild — okay from about 8+,Nudity & bodies — Naked Wizard: “I’m naked! [laughs like the crazy old man he is]”
1,12,0112,Evicted!,2,1,2,2,8,Mild — okay from about 8+,"Violence & injury — Jake: “Yes way, it did. And also the vampire hunched over its victims and breathed their vaporized blood mist.”"
1,13,0113,City of Thieves,2,2,1,2,8,Mild — okay from about 8+,"Sex & hookups — Finn: “This good deed we did has purified us once again. We're virgin islands! [Cherubs fly from off-screen, playing a trumpet and a harp. They steal the swords from Finn that he stole earlier.]”"
1,14,0114,The Witch's Garden,1,1,1,1,7,Usually fine — about 7+,Nudity & bodies — Jake: “And what gives? [Pointing to his nipple] I used to have like eight more of these things.”
1,15,0115,What is Life?,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Finn: “Thanks, guys. Your blood-oath is fulfilled.”"
1,16,0116,Ocean of Fear,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Finn: “I'm afraid! Ah! [Jumps on top of Jake and starts punching him] Jake, get me out of the water! Now, Jake! Now! Now!”"
1,17,0117,When Wedding Bells Thaw,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finn: “I will, though! With a sweet kick! [throws himself in the air with his foot forward, but punches Ice king in the face at the last second] Psych!”"
1,18,0118,Dungeon,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — Jake: “Oh, my... [makes out with the sandwich]”"
1,19,0119,The Duke,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Jake: “Nah, we're more like cops. Crooked cops! [Jake makes a gun with his fingers and pretends to shoot something.]”"
1,2,0102,Trouble in Lumpy Space,1,2,1,2,8,Mild — okay from about 8+,Sex & hookups — Lumpy Space Princess: “It's up there at Makeout Point.”
1,20,0120,Freak City,1,1,2,2,8,Mild — okay from about 8+,Violence & injury — Finn starts playfully slapping Jake
1,21,0121,Donny,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Why-wolf: “Creatures possessed by the spirit of inquiry..... [Growling voice] AND... BLOODLUST!!”
1,22,0122,Henchman,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Finn: “I'm gonna murder you.”
1,23,0123,Rainy Day Daydream,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — Jake: “[Head shrinks] Aw, man... I imagined my mom naked! [Finn appears next to him.] Yugh!”"
1,24,0124,What Have You Done?,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Finn: “I can't just beat up the Ice King for nothing. That's against my alignment.”
1,3,0103,Prisoners of Love,2,2,1,2,8,Mild — okay from about 8+,"Sex & hookups — Finn: “Wait, wait, no, I take it back. I mean, not like ""sexy"" hot.”"
1,4,0104,Tree Trunks,1,1,1,1,7,Usually fine — about 7+,
1,5,0105,The Enchiridion!,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finn punches the beast until it bursts, gushes blood, and its body falls to the ground"
1,6,0106,The Jiggler,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Finn: “We took this child away from its mama, Jake. We're kidnappers and murderers! I just wanted to have fun and jiggle!”"
1,7,0107,Ricardio the Heart Guy,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — Ricardio: “You were right all along, Finn! Now I'm going to cut out Princess Bubblegum's heart and make out with it!”"
1,8,0108,Business Time,1,1,1,1,7,Usually fine — about 7+,"Fat-shaming — Jake: “Ahh. I'm so fat, dude; I don't know what to do.”"
1,9,0109,My Two Favorite People,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — Lady Rainicorn: “What could it have been? Ah! Do you remember when we got completely naked, and frantically ran around in the farmer's cabbage patch?”"
2,1,0201,It Came from the Nightosphere,2,1,2,2,8,Mild — okay from about 8+,Violence & injury — Finn: “[Flying upwards] NO ONE FLICKS ME IN THE BUTT WITHOUT MY CONSENT!!! [Descends and stabs the Lord of Evil in the head.”
2,10,0210,To Cut a Woman's Hair,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Muscle Princess: “Of course it looks bad. If I had beautiful, shiny hair, no one would look at my muscles. [Starts punching Finn around] Come back when you wanna get serious about loving me!”"
2,11,0211,The Chamber of Frozen Blades,1,1,1,1,7,Usually fine — about 7+,
2,12,0212,Her Parents,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Finn: “AAAH! Knock it off, Bob!! [Punches him]”"
2,13,0213,The Pods,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — The pod drops to the ground with a thud and Finn and Jake jump on top of it. Finn starts hitting it with his sword. Jake jumps off and punches near an opening.
2,14,0214,The Silent King,2,1,1,2,8,Mild — okay from about 8+,Sex & hookups — Jake: “[Immediately falls asleep. A lion and a goose sleep with him.]”
2,15,0215,The Real You,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finn: “MEAT!! WAH!! [He knocks some steaks onto the fire then stabs a bunch of them so that they cling to his sword.] DIE, YOU FIRE!!! [He puts out the fire by piling the steaks on it.]”"
2,16,0216,Guardians of Sunshine,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Both knuckle punch as the show's logo explodes on the screen
2,17,0217,Death in Bloom,2,1,1,2,8,Mild — okay from about 8+,Sex & hookups — Camera pans out to reveal she is talking to a group of vegetables that are hooked up to electronic devices. Princess Bubblegum sighs.
2,18,0218,Susan Strong,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finn: “Aw, Susan... You got grass blood all over your face. [Tries to wipe her with handkerchief]”"
2,19,0219,Mystery Train,3,1,1,3,10,Preview first — about 10+,Violence & injury — Finn: “Are you kidding? It's a murder mystery! On a train! [Squeezes his hat's ears] And we're gonna solve it.”
2,2,0202,The Eyes,2,2,1,2,8,Mild — okay from about 8+,Sex & hookups — Jake: “Not gonna be able to sleep with that horse watchin' me.”
2,20,0220,Go With Me,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Marceline: “The only thing women like more than fun is excitement! She needs to feel her blood pump, man! She needs to... be chased by wolves!”"
2,21,0221,Belly of the Beast,3,1,2,3,10,Preview first — about 10+,Violence & injury — Cubby: “Sure. He sleeps on the monster's heart. It's like a blood waterbed.”
