season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Anne or Beast?,1,1,1,1,7,Usually fine — about 7+,
1,2,0102,Best Fronds,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — So, is punching part of friendship?"
1,3,0103,Cane Crazy,1,1,1,1,7,Usually fine — about 7+,
1,4,0104,"Flood, Sweat and Tears",1,1,1,1,7,Usually fine — about 7+,
1,5,0105,Hop Luck,1,1,1,1,7,Usually fine — about 7+,
1,6,0106,Stakeout,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Hop Pop: “[laughs] And what about you? I didn't even know you could turn that color. What, you got chameleon in your blood? [laughs]”"
1,7,0107,The Domino Effect,1,1,1,1,7,Usually fine — about 7+,
1,8,0108,Taking Charge,2,1,1,2,8,Mild — okay from about 8+,Nudity & bodies — “♪ Like the nearly naked humans”
1,9,0109,Anne Theft Auto,1,1,1,1,7,Usually fine — about 7+,
1,10,0110,Breakout Star,1,1,1,1,7,Usually fine — about 7+,
1,11,0111,Sprig vs. Hop Pop,1,1,1,1,7,Usually fine — about 7+,Alcohol & drugs — Sprig sees two cowapillars grazing in front of him. He looks at the plucked weed in his right hand and immediately runs to Hop Pop.
1,12,0112,Girl Time,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — (brightens up) Well, I guess it couldn't hurt. Plus, you and Sprig are always getting into fun trouble! So what are we doing? Toad rustling? SNAKE PUNCHING?!"
1,13,0113,Dating Season,1,1,1,1,7,Usually fine — about 7+,Violence & injury — (gasps) Stay back. (Arms himself with a stick.) It could be a bloodsucking predator!
1,14,0114,Anne vs. Wild,1,1,1,1,7,Usually fine — about 7+,
1,15,0115,Contagi-Anne,1,1,1,1,7,Usually fine — about 7+,
1,16,0116,Family Shrub,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Hop Pop: “Don't have to be blood to be a Plantar, Anne. [Polly waves her glue & stick-covered flipper in the background.]”"
1,17,0117,Lily Pad Thai,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Anne: “[grunts] Pull yourself together, man. We can do this. It's time to bring out the big guns. My parents' squid and basil special. No critic in town could resist.”"
1,18,0118,Plantar's Last Stand,1,1,1,1,7,Usually fine — about 7+,
1,19,0119,Toad Tax,1,1,1,1,7,Usually fine — about 7+,
1,20,0120,Prison Break,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Grime: “Quiet. It's not just a bird. It's a heron, a murderous predator that happens to love the taste of flesh.”"
1,21,0121,Grubhog Day,1,1,1,1,7,Usually fine — about 7+,
1,22,0122,Hop Pop and Lock,1,1,1,1,7,Usually fine — about 7+,Violence & injury — punching sounds
1,23,0123,Civil Wart,1,1,1,1,7,Usually fine — about 7+,
1,24,0124,Hop-Popular,2,1,1,2,8,Mild — okay from about 8+,Nudity & bodies — Duckweed: “Being mayor is a lot like being dropped in the woods naked and forced to find your way home. So that's what we did!”
1,25,0125,Croak and Punishment,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Investigator 1: “One knife victim without pants. We've gotta catch this sicko.”
1,26,0126,Trip to the Archives,1,1,1,1,7,Usually fine — about 7+,
1,27,0127,Snow Day,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Um, hello! I'm warm-blooded."
1,28,0128,Cracking Mrs. Croaker,1,1,1,1,7,Usually fine — about 7+,
1,29,0129,A Night at the Inn,1,1,1,1,7,Usually fine — about 7+,
1,30,0130,Wally and Anne,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Around morning in the forest, Wally is still playing his accordion in a somewhat jolly way while Anne is feeling sleep-depraved with bloodshot eyes following him."
1,31,0131,Family Fishing Trip,1,1,1,1,7,Usually fine — about 7+,
1,32,0132,Bizarre Bazaar,1,1,1,1,7,Usually fine — about 7+,
1,33,0133,Cursed!,1,1,1,1,7,Usually fine — about 7+,
1,34,0134,Fiddle Me This,1,1,1,1,7,Usually fine — about 7+,
1,35,0135,The Big Bugball Game,1,1,1,1,7,Usually fine — about 7+,
1,36,0136,Combat Camp,1,1,1,1,7,Usually fine — about 7+,
1,37,0137,Children of the Spore,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Whoo-hoo! Shotgun!
1,38,0138,Anne of the Year,1,1,1,1,7,Usually fine — about 7+,
1,39,0139,Reunion,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Sasha: “Right? Let's get outta here. [heaving] Mrs. Virk, the sight of blood... I-- I'm gonna be sick...!”"
2,1,0201,Handy Anne,1,1,1,1,7,Usually fine — about 7+,
2,2,0202,Fort in the Road,1,1,1,1,7,Usually fine — about 7+,
2,3,0203,The Ballad of Hopediah Plantar,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Hop Hop throws another punch with his tongue which leaves Talbert on the ground.
2,4,0204,Anne Hunter,2,1,1,2,8,Mild — okay from about 8+,Suicide & self-harm — ♪ When the hunt is on and the moon is high ♪ (it is seen Anne trying to hang herself from vines but she falls)
2,5,0205,Truck Stop Polly,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — 'Ain't that a shame,' said Fergus as he drew his knife!"" (a knife comes out)"
2,6,0206,A Caravan Named Desire,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — All right, boys. That's our cue. (they beat up the bank guards)"
2,7,0207,Quarreler's Pass,3,1,1,3,10,Preview first — about 10+,"Violence & injury — It was fine, except for the bloodthirsty olms."
2,8,0208,Toadcatcher,1,1,1,1,7,Usually fine — about 7+,
2,9,0209,Swamp and Sensibility,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Wally takes off his ribbon, rolls it up on a knife and spins it around the table."
2,10,0210,Wax Museum,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Anne: “Stick to physical comedy. Got it. (She punches herself in the face.)”
2,11,0211,Marcy at the Gates,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Marcy: “They're designed to release pheromones that should drive the queen away instantly. But we will have to fight our way through a bloodthirsty hoard of ants.”
2,12,0212,Scavenger Hunt,1,1,1,1,7,Usually fine — about 7+,
2,13,0213,The Plantars Check In,1,1,1,1,7,Usually fine — about 7+,
2,14,0214,Lost in Newtopia,1,1,1,1,7,Usually fine — about 7+,
2,15,0215,Sprig Gets Schooled,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Anne: “Yeah. They're probably having crazy cool parties and slapping farm animals right now. Just over that wall. [sighs]”
2,16,0216,Little Frogtown,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Hop Pop: “What's this? Blood?”
2,17,0217,Hopping Mall,1,1,1,1,7,Usually fine — about 7+,Violence & injury — It's the only way to not murder that pollywog!
2,18,0218,The Sleepover to End All Sleepovers,1,1,1,1,7,Usually fine — about 7+,
2,19,0219,A Day at the Aquarium,1,1,1,1,7,Usually fine — about 7+,
2,20,0220,The Shut-In!,1,1,1,1,7,Usually fine — about 7+,
2,21,0221,Night Drivers,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Vulture: “Murder! Murder!”
2,22,0222,Return to Wartwood,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — Sprig: “Ivy, I'm sorry I didn't get you a red sunshell. [Ivy friendly punches Sprig] Ow!”"
2,23,0223,Ivy on the Run,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Felicia: “Don't ""but, Mom"" me, come home this instant! [Ivy grunts angrily and punches the tree, knocking Sprig off it.]”"
2,24,0224,After the Rain,1,1,1,1,7,Usually fine — about 7+,
2,25,0225,The First Temple,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Marcy: “(She throws some punches.) Yeah, yeah, yeah, yeah!”"
2,26,0226,New Wartwood,1,1,1,1,7,Usually fine — about 7+,
2,27,0227,Friend or Frobo?,1,1,1,1,7,Usually fine — about 7+,
2,28,0228,Toad to Redemption,1,1,1,1,7,Usually fine — about 7+,
2,29,0229,Maddie & Marcy,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Maddie: “A really rotted corpse.”
2,30,0230,The Second Temple,1,1,1,1,7,Usually fine — about 7+,
2,31,0231,Barrel's Warhammer,1,1,1,1,7,Usually fine — about 7+,
2,32,0232,Bessie & MicroAngelo,1,1,1,1,7,Usually fine — about 7+,
2,33,0233,The Third Temple,1,1,1,1,7,Usually fine — about 7+,
2,34,0234,The Dinner,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — None. They prefer utter darkness and the smell of blood.
2,35,0235,Battle of the Bands,1,1,1,1,7,Usually fine — about 7+,
2,36,0236,True Colors,3,1,1,3,10,Preview first — about 10+,"Violence & injury — At the top of the castle, its spire is changed to the shape of a pistol. The pistol-shaped spire fires a beam at the North Tower, obliterating it."
3,1,0301,The New Normal,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — The Plantars try to move to help Anne, they rush towards Cloak-Bot, but they just stand softly in front of him. Cloak-Bot sees them and gets ready to kill them with a laser gun."
3,2,0302,Hop 'Til You Drop,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — (punches himself and he's punching himself a lot
3,3,0303,Turning Point,3,1,1,3,10,Preview first — about 10+,"Sex & hookups — The next day, Sasha is seen sleeping with Bessie and MicroAngelo, when suddenly someone opens the door for her."
3,4,0304,Thai Feud,1,1,1,1,7,Usually fine — about 7+,
3,5,0305,Adventures in Catsitting,1,1,1,1,7,Usually fine — about 7+,"Violence & injury — But we were hosts, so we had to be nice. (Time passes and the Plantars' faces are shriveled with bloodshot eyes.) We just resented him a little more... each day."
3,6,0306,Fight at the Museum,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Eat the rich! (dropped the guillotine knife, causing Cloak-Bot to cut into his arm. Anne and the Plantars go elsewhere.) How're we gonna stop this thing?"
3,7,0307,Temple Frogs,1,1,1,1,7,Usually fine — about 7+,
3,8,0308,Fixing Frobo,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — It's time to call in the big guns.
3,9,0309,Anne-Sterminator,3,1,1,3,10,Preview first — about 10+,Violence & injury — Mrs. Boonchuy hits Cloak-Bot with a sledgehammer three times as he lets go of Anne and stabs a sign at him. She hits his leg and Anne removes a few body parts with a pipe. Cloak-Bot was groaning.
3,10,0310,Mr. X,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — (leaves money to pay) Gotta go! (takes the order) Is your stun gun charged, Jenny? (pulls out his stun gun and lights it up) Tell me it's charged?"
3,11,0311,Sprig's Birthday,1,1,1,1,7,Usually fine — about 7+,Violence & injury — Friend punch!
