season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Welcome to the Playground,2,1,3,3,12,Preview first — about 12+,Violence & injury — So stick with us! Take a punch or two.
1,2,0102,Some Mysteries Are Better Left Unsolved,2,1,3,3,12,Preview first — about 12+,Violence & injury — We've got the numbers to beat them.
1,3,0103,The Base Violence Necessary for Change,3,1,2,3,12,Preview first — about 12+,Violence & injury — Can you imagine what it's like? When your blood mixes with the filth and the river toxins eat through your nerves.
1,4,0104,Happy Progress Day!,1,1,3,3,12,Preview first — about 12+,"Swearing — Let's go! Ah, shit. The Firelights."
1,5,0105,Everybody Wants to Be My Enemy,1,1,3,3,12,Preview first — about 12+,"Swearing — “the shit out of me,”"
1,6,0106,When These Walls Come Tumbling Down,3,1,3,3,12,Preview first — about 12+,Violence & injury — Ailment? Uhâ¦ Uhâ¦ she's been stabbed.
1,7,0107,The Boy Savior,2,1,3,3,12,Preview first — about 12+,Violence & injury — You still punch like a little boy.
1,8,0108,Oil and Water,3,1,4,4,13,Skip for under 13,Sex & hookups — Your leadership is impotent.
1,9,0109,The Monster You Created,3,1,3,3,12,Preview first — about 12+,"Violence & injury — You gonna do anything about that piece of shit that murdered my boy? Let me guess, ""Jinx will take care of it. "" Just like she's been taking care of everything else."
2,1,0201,Heavy Is the Crown,3,1,2,3,12,Preview first — about 12+,Violence & injury — People are calling for blood.
2,2,0202,Watch It All Burn,3,1,4,4,13,Skip for under 13,Violence & injury — All these bloodhounds keep comin' ♪
2,3,0203,Finally Got the Name Right,3,1,2,3,12,Preview first — about 12+,Violence & injury — Is that not enough to sate your bloodlust?
2,4,0204,Paint the Town Blue,2,1,2,2,12,Mild — okay from about 12+,Violence & injury — on account of the murdering and all.
2,5,0205,Blisters and Bedrock,2,1,3,3,12,Preview first — about 12+,Affairs / cheating — The affair led to a child.
2,6,0206,The Message Hidden Within the Pattern,2,1,2,2,12,Mild — okay from about 12+,Violence & injury — A bloodthirsty murderous beast.
2,7,0207,Pretend Like It's the First Time,1,2,1,2,12,Mild — okay from about 12+,Sex & hookups — I only need to hook up
2,8,0208,Killing Is a Cycle,3,1,3,3,12,Preview first — about 12+,Nudity & bodies — You said you're picturing me naked ♪
2,9,0209,The Dirt Under Your Nails,2,1,1,2,12,Mild — okay from about 12+,Violence & injury — from this senseless bloodshed.
