season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,The Boy in the Iceberg,3,4,1,4,13,Skip for under 13,Sex & hookups — The camera moves back again to show the threesome at the base of the iceberg.
1,2,0102,The Avatar Returns,1,1,1,1,8,Usually fine — about 8+,
1,3,0103,The Southern Air Temple,1,4,1,4,13,Skip for under 13,Sex & hookups — Cut to a closer shot of the threesome.
1,4,0104,The Warriors of Kyoshi,3,1,1,3,10,Preview first — about 10+,Violence & injury — The rider stabs at her with his spear.
1,5,0105,The King of Omashu,1,4,1,4,13,Skip for under 13,"Sex & hookups — …into a hug.] Love each other, [Cut to a dismayed looking king.] respect all life, [Cut to a shot of the threesome walking backward toward the exit.] and don't run with your spears."
1,6,0106,Imprisoned,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — Every child in my Water Tribe village was rocked to sleep with stories of the brave Earth Kingdom, and the courageous earthbenders who guard its borders."
1,7,0107,"The Spirit World (Winter Solstice, Part 1)",1,1,1,1,8,Usually fine — about 8+,
1,8,0108,"Avatar Roku (Winter Solstice, Part 2)",2,1,1,2,8,Mild — okay from about 8+,Violence & injury — [Lights the stinking ball with a fire punch.] On my mark! Fire!
1,9,0109,The Waterbending Scroll,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Aang is shown lost in the smoke, a thrown knife narrowly misses him and cuts through his ropes."
1,10,0110,Jet,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Sokka jams his jawbone knife into the trunk of the tree.
1,11,0111,The Great Divide,1,1,1,1,8,Usually fine — about 8+,
1,12,0112,The Storm,1,1,1,1,8,Usually fine — about 8+,
1,13,0113,The Blue Spirit,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — [Iroh wins his game.] Excellent! I take the pot! [A crew member punches himself.] But you're all improving! I'm certain you will win if we play again.
1,14,0114,The Fortuneteller,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — …smoochie, someone's in love! [Makes kissing noises before the se tu breaks free from his grasp, slapping Sokka in the face with its tail and disappearing under the water."
1,15,0115,Bato of the Water Tribe,2,4,1,4,13,Skip for under 13,"Sex & hookups — Nyla soon finds Katara's purple scent on the necklace, and the threesome head off."
1,16,0116,The Deserter,1,1,1,1,8,Usually fine — about 8+,
1,17,0117,The Northern Air Temple,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — How can I be proud of you when your inventions are being used for murder?
1,18,0118,The Waterbending Master,1,1,1,1,8,Usually fine — about 8+,
1,19,0119,"The Siege of the North, Part 1",1,1,1,1,8,Usually fine — about 8+,Alcohol & drugs — [Angered.] Princess Yue is wasted on a self-absorbed weasel like you!
1,20,0120,"The Siege of the North, Part 2",3,1,1,3,10,Preview first — about 10+,"Violence & injury — A moment later, a white face appears with gray patches around its eyes and luscious, blood-red lips."
2,1,0201,The Avatar State,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — He casts a look at Zuko, who holds the knife under his ponytail."
2,2,0202,The Cave of Two Lovers,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — Rises from her hunched-over position; turns to face Sokka smugly.] What? Like you're ready to go right now, naked guy? [Smiles at him smugly."
