season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,10,0110,Hotel,1,1,1,1,6,Usually fine — about 6+,
1,11,0111,Bike,1,1,1,1,6,Usually fine — about 6+,
1,12,0112,Bob Bilby,1,1,1,1,6,Usually fine — about 6+,
1,13,0113,Spy Game,1,1,1,1,6,Usually fine — about 6+,"Alcohol & drugs — Chilli pours a bottle of wine on the fire, dousing it."
1,14,0114,Takeaway,1,1,1,1,6,Usually fine — about 6+,
1,15,0115,Butterflies,1,1,1,1,6,Usually fine — about 6+,
1,16,0116,Yoga Ball,1,1,1,1,6,Usually fine — about 6+,
1,17,0117,Calypso,1,1,1,1,6,Usually fine — about 6+,
1,18,0118,The Doctor,1,1,1,1,6,Usually fine — about 6+,
1,19,0119,The Claw,1,1,1,1,6,Usually fine — about 6+,"Affairs / cheating — Bluey and Bingo laugh, and Bluey turns to Chilli, who is watching the whole affair."
1,2,0102,Hospital,1,1,1,1,6,Usually fine — about 6+,
1,20,0120,Markets,1,1,1,1,6,Usually fine — about 6+,
1,21,0121,Blue Mountains,1,1,1,1,6,Usually fine — about 6+,
1,22,0122,The Pool,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Bandit enters, carrying some pool noodles and a water pistol."
1,23,0123,Shops,1,1,1,1,6,Usually fine — about 6+,
1,24,0124,Wagon Ride,1,1,1,1,6,Usually fine — about 6+,
1,25,0125,Taxi,1,1,1,1,6,Usually fine — about 6+,
1,26,0126,The Beach,1,1,1,1,6,Usually fine — about 6+,
1,27,0127,Pirates,1,1,1,1,6,Usually fine — about 6+,"Fat-shaming — Chilli: “""Suddenly, the huge whale swallowed their boat whole!""”"
1,28,0128,Grannies,1,1,1,1,6,Usually fine — about 6+,
1,29,0129,The Creek,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Mackenzie: “Yeah, don't worry. He just wants to eat your blood.”"
1,3,0103,Keepy Uppy,1,1,1,1,6,Usually fine — about 6+,
1,30,0130,Fairies,1,1,1,1,6,Usually fine — about 6+,
1,31,0131,Work,1,1,1,1,6,Usually fine — about 6+,
1,32,0132,Bumpy and the Wise Old Wolfhound,1,1,1,1,6,Usually fine — about 6+,
1,33,0133,Trampoline,1,1,1,1,6,Usually fine — about 6+,Alcohol & drugs — Bluey wiggles her hips cheekily. Chilli looks at the weed she is holding and throws it aside.
1,34,0134,The Dump,1,1,1,1,6,Usually fine — about 6+,
1,35,0135,Zoo,1,1,1,1,6,Usually fine — about 6+,
1,36,0136,Backpackers,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Bingo punches Bandit in the stomach, and he screams and drops his ""croissants""."
1,37,0137,The Adventure,1,1,1,1,6,Usually fine — about 6+,
1,38,0138,Copycat,1,1,1,1,6,Usually fine — about 6+,
1,39,0139,The Sleepover,1,1,1,1,6,Usually fine — about 6+,
1,4,0104,Daddy Robot,1,1,1,1,6,Usually fine — about 6+,
1,40,0140,Early Baby,1,1,1,1,6,Usually fine — about 6+,
1,41,0141,Mums and Dads,1,1,1,1,6,Usually fine — about 6+,
1,42,0142,Hide and Seek,1,1,1,1,6,Usually fine — about 6+,
1,43,0143,Camping,1,1,1,1,6,Usually fine — about 6+,
1,44,0144,Mount Mumandad,1,1,1,1,6,Usually fine — about 6+,
1,45,0145,Kids,1,1,1,1,6,Usually fine — about 6+,Violence & injury — A docket boy is going down the aisle with a pricing gun.
1,46,0146,Chickenrat,1,1,1,1,6,Usually fine — about 6+,
1,47,0147,Neighbours,1,1,1,1,6,Usually fine — about 6+,
1,48,0148,Teasing,1,1,1,1,6,Usually fine — about 6+,
1,49,0149,Asparagus,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Bandit: “Bingo! For the last time, use a knife and”"
1,5,0105,Shadowlands,1,1,1,1,6,Usually fine — about 6+,
1,50,0150,Shaun,1,1,1,1,6,Usually fine — about 6+,
1,51,0151,Daddy Putdown,1,1,1,1,6,Usually fine — about 6+,
1,52,0152,Verandah Santa,1,1,1,1,6,Usually fine — about 6+,Alcohol & drugs — Chilli and Trixie are chatting and sipping wine.
1,6,0106,The Weekend,1,1,1,1,6,Usually fine — about 6+,
1,7,0107,Bbq,1,1,1,1,6,Usually fine — about 6+,Alcohol & drugs — Bandit is cooking sausages while Stripe stands nearby with a beer.
