season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Human Flesh,2,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “But once that body's dead, It's, ""hey, don't mistreat the dead body! ""hey, don't eat the dead body!"" That's the ultimate crime, right? Murder, no big deal.”"
1,2,0102,2. Crawl Space,1,3,2,3,10,Preview first — about 10+,Sex & hookups — “Gene can sleep with me in my room As long as he doesn't mind my night terrors.”
1,3,0103,3. Sacred Cow,3,4,2,4,13,Skip for under 13,Sex & hookups — “Like a sex tape.”
1,4,0104,4. Sexy Dance Fighting,2,2,1,2,9,Mild — okay from about 9+,Sex & hookups — “Jairo sleeps with his eyes open.”
1,5,0105,5. Hamburger Dinner Theater,3,4,1,4,13,Skip for under 13,"Sex & hookups — “Like all their clothes? Well, maybe just a condom and a hat.”"
1,6,0106,"6. Sheesh! Cab, Bob?",1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,7,0107,7. Bed & Breakfast,2,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “You mean you're gonna watch beetles have sex with each other? Mm-hmm.”
1,8,0108,8. Art Crawl,2,4,2,4,13,Skip for under 13,"Nudity & bodies — “That means never holding back anything, right, pit stains? Am I showing? Let's just say your shirt looks like my underwear right now.”"
1,9,0109,9. Spaghetti Western and Meatballs,3,1,2,3,10,Preview first — about 10+,"Sex & hookups — “You're dead! Quiet! Sexual, sexual Okay, well, I'm gonna go get Gene and Louise from detention.”"
1,10,0110,10. Burger War,3,1,2,3,10,Preview first — about 10+,Sex & hookups — “fancy face take a trip to the sexy store? No.”
1,11,0111,11. Weekend at Mort's,3,2,2,3,10,Preview first — about 10+,Nudity & bodies — “My boob? Yes.”
1,12,0112,12. Lobsterfest,3,2,2,3,10,Preview first — about 10+,Nudity & bodies — “I rub my genitals on the couch.”
1,13,0113,13. Torpedo,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “"" That game, I had a pat of butter in my nostril, sex jelly in my armpit Hell, I was on prescription drugs to stimulate production of earwax.”"
2,1,0201,1. The Belchies,2,4,2,4,13,Skip for under 13,Sex & hookups — “A horny baby.”
2,2,0202,2. Bob Day Afternoon,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Shake 'em loose, Bob! Let's Go! I'm trying! They're not letting me go! I have too many unanswered questions! What is sex?! Gene, just let go! I don't know what sex is! I said, I'm coming! Bob! Come back safe, Bobby.”"
2,3,0203,3. Synchronized Swimming,1,2,1,2,9,Mild — okay from about 9+,"Nudity & bodies — “Oh, last night, I dreamt I was breast-feeding Gene again, and he had a long white beard like Santa Claus.”"
2,4,0204,4. Burgerboss,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “He had sex, then we happened! Deal with it! I was wrong about you.”"
2,5,0205,5. Food Truckin',2,4,3,4,13,Skip for under 13,Sex & hookups — “I don't want to die a virgin.”
2,6,0206,6. Dr. Yap,2,3,2,3,10,Preview first — about 10+,"Sex & hookups — “Whatever she needs?! What if, what if she wants to have sex with me? Whatever she needs.”"
2,7,0207,7. Moody Foodie,3,1,2,3,10,Preview first — about 10+,Nudity & bodies — “Like my underwear.”
2,8,0208,8. Bad Tina,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “Don't be such a boob punch.”
2,9,0209,9. Beefsquatch,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “So, how about we take this to the next level? You wanna make out? Okay, on three.”"
3,1,0301,1. Ear-sy Rider,3,3,2,3,10,Preview first — about 10+,Sex & hookups — “This was Horny Dave's favorite jam.”
3,2,0302,2. Full Bars,3,2,2,3,10,Preview first — about 10+,"Nudity & bodies — “""We are getting our boobs ready.”"
3,3,0303,3. Bob Fires the Kids,2,4,2,4,13,Skip for under 13,"Sex & hookups — “It's not a sex thing, though, so Okay, I guess I'll keep these resumés on file.”"
3,4,0304,4. Mutiny on the Windbreaker,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Whoo, throw a ripped wedding dress on this daiquiri 'cause it is not a virgin! Go ahead and give yourself a big tip on goldie.”"
3,5,0305,5. An Indecent Thanksgiving Proposal,3,4,3,4,13,Skip for under 13,"Sex & hookups — “Calvin, your sperm did wonderfully.”"
3,6,0306,6. The Deepening,3,2,2,3,10,Preview first — about 10+,"Nudity & bodies — “Oh, my God, Linda Blair's boobs just popped out of her wet suit.”"
3,7,0307,7. Tina-Rannosaurus Wrecks,3,1,2,3,10,Preview first — about 10+,Violence & injury — “His last wish was to be buried at the house he was murdered in.”
3,8,0308,8. The Unbearable Like-Likeness of Gene,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Don't blame us, fatty! Lookin' good! Aw! Horny little grandpa.”"
3,9,0309,9. God Rest Ye Merry Gentle-Mannequins,3,4,2,4,13,Skip for under 13,Sex & hookups — “And there's only one sex shopping day till Christmas.”
3,10,0310,10. Mother Daughter Laser Razor,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “And I'm gonna learn about sex from television, so I don't need that from you, either! Wait, maybe you should take some time to cool off.”"
3,11,0311,11. Nude Beach,2,5,2,5,16,Heavy — skip for under 16,"Sex & hookups — “…with a master plan And the ladies call me Tex And the one thing all the ladies know is I'm good at having Sex, sex, sex, sex, sex, sex, sex I leave my shirt on, that's okay Don't make me feel self-conscious, babe…”"
3,12,0312,12. Broadcast Wagstaff School News,1,1,2,2,9,Mild — okay from about 9+,Nudity & bodies — “It was like two babies climbin' on the same boob.”
3,13,0313,13. My Fuzzy Valentine,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “If you like the same food or sex angles, you're compatible.”"
3,14,0314,14. Lindapendant Woman,2,3,1,3,10,Preview first — about 10+,"Sex & hookups — “Oh, hey, nobody ever said I rock at my old job, and I was sleeping with the boss.”"
3,15,0315,15. O.T. The Outside Toilet,1,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “I'm a sexy grandma.”
3,16,0316,16. Topsy,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Tina? - Tina? - Uh - Huh, how about this? - Huh, huh? - Uh - It's not using sex to sell.”"
3,17,0317,17. Two For Tina,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “Oh, my God, it's like a fairy tale! What a couple of sexy beasts! Can we just go? Hi, Jen.”"
3,18,0318,18. It Snakes a Village,1,4,2,4,13,Skip for under 13,Sex & hookups — “I don't want all these old horny toads anywhere near my parents.”
3,19,0319,19. Family Fracas,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
3,20,0320,20. The Kids Run the Restaurant,3,1,2,3,10,Preview first — about 10+,"Nudity & bodies — “Winner, winner, burger dinner! Louise, why are we in our underwear? So you don't steal any of that money you're counting.”"
3,21,0321,21. Boyz 4 Now,3,1,2,3,10,Preview first — about 10+,Sex & hookups — “Give me the bad news! Aunt Gayle pepper-sprayed one of her cats because she thought he was an intruder trying to sexually assault her.”
3,22,0322,22. Carpe Museum,1,4,2,4,13,Skip for under 13,"Sex & hookups — “Oh, like how my stepmom's on a sex strike till my dad fixes the VCR.”"
3,23,0323,23. The Unnatural,1,4,3,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
4,1,0401,1. A River Runs Through Bob,1,3,2,3,10,Preview first — about 10+,Sex & hookups — “Your father and I are being held hostage by the horny hermits.”
4,2,0402,2. Fort Night,1,1,2,2,9,Mild — okay from about 9+,
4,3,0403,3. Seaplane!,3,4,2,4,13,Skip for under 13,Sex & hookups — “Something about Quippiquisset just makes people horny as hell.”
4,4,0404,4. My Big Fat Greek Bob,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Linda swears by this thing, don't you, Linda? You know, because of your problems with your husband? Yeah! Uh, Bob's got a condition that makes him, uh, sex bad.”"
4,5,0405,5. Turkey in a Can,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “You want to mess around? What? I don't know, all these turkeys it makes me horny.”"
4,6,0406,6. Purple Rain-Union,2,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “Like three out of five of my sexy parts after I had kids.”
4,7,0407,7. Bob and Deliver,1,4,2,4,13,Skip for under 13,Sex & hookups — “You're not a virgin.”
4,8,0408,8. Christmas In The Car,2,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
4,9,0409,9. Slumber Party,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “I think he just gave me the double guns.”
4,10,0410,10. Presto Tina-o,2,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “And while you're doing that, Linda's going to get me your biggest knife.”"
4,12,0412,12. The Frond Files,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Uh-oh, I'm listening to music on a portable tape player, and it's making me very curious about sex.”"
4,13,0413,13. Mazel Tina,2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “Spots are for underwear, Tina.”"
4,14,0414,14. Uncle Teddy,2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “What's the holdup with those chips? Whoa, what am I looking at? There's a clog in there And it could be underwear.”"
4,15,0415,15. The Kids Rob a Train,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “"" Like in the health and sexuality section at the bookstore.”"
4,16,0416,16. I Get Psy-chic Out of You,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “Just do whatever you did for the knife! Ticktock! I'm still figuring out how this works! I don't know when it comes and goes.”
4,17,0417,17. The Equestranauts,1,1,2,2,9,Mild — okay from about 9+,Sex & hookups — “You're like a sexy spy.”
4,18,0418,18. Ambergris,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Is that what sex will be like? Hey, Mr.”"
4,19,0419,19. The Kids Run Away,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “All right, sex time! Oh, my God, right.”"
4,20,0420,20. Gene It On,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
4,21,0421,21. Wharf Horse,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “And not the kind you give to decrepit old businesses, but the kind you give to hot, sexy, successful businesses.”"
4,22,0422,22. World Wharf II: The Wharfening (or How Bob Saves/Destroys the Town -- Part II),3,3,3,3,10,Preview first — about 10+,Sex & hookups — “Like that time I texted mom that I was super horny when I was really super hungry.”
5,1,0501,"1. Work Hard or Die Trying, Girl",3,1,2,3,10,Preview first — about 10+,"Nudity & bodies — “Gene, it's 9:30, and I have a lot of sweat in my underwear.”"
5,2,0502,2. Tina and the Real Ghost,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “It's like so You could cut the tension with a knife.”
5,3,0503,3. Friends With Burger-fits,3,1,3,3,10,Preview first — about 10+,Nudity & bodies — “Longest I've been naked in three years.”
5,4,0504,4. Dawn Of The Peck,3,1,3,3,10,Preview first — about 10+,"Violence & injury — “…ho! I've got my finger on the trigger I ain't lettin' go Mama used to tell me Girl, you better load your gun up right She said, ""You, you gotta come out smokin' Hit it with your best shot every time”"
5,5,0505,5. Best Burger,3,1,2,3,10,Preview first — about 10+,Nudity & bodies — “Go to your mom's bra drawer and find the cash she thinks is secret.”
5,6,0506,6. Father Of The Bob,2,2,3,3,10,Preview first — about 10+,"Nudity & bodies — “Talking about your heart, Bob, not your nipple.”"
5,7,0507,7. Tina Tailor Soldier Spy,2,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “Belcher? - Don't say 'cause I'm your boss - 'Cause you're my boss - And you're my sexy assistant.”
5,8,0508,8. Midday Run,1,2,1,2,9,Mild — okay from about 9+,Sex & hookups — “You made the wall sexy.”
5,9,0509,9. Speakeasy Rider,1,2,3,3,10,Preview first — about 10+,"Sex & hookups — “I know it's like we both won, but maybe we both don't need to sleep with the trophy, huh? Okay, one more night.”"
5,10,0510,10. Late Afternoon In The Garden Of Bob And Louise,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — “If you have to sleep with her to get in, it's okay.”"
5,11,0511,11. Can't Buy Me Math,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Okay, uh ""Sexy cooking.”"
5,12,0512,12. The Millie-churian Candidate,3,1,2,3,10,Preview first — about 10+,Violence & injury — “What? A kitchen knife for $300.”
5,13,0513,13. The Gayle Tales,1,2,3,3,10,Preview first — about 10+,"Sex & hookups — “Where's my sexy fiancÃ©?! Where is he?! Bob! Uh, here I am.”"
5,14,0514,14. L'il Hard Dad,1,3,2,3,10,Preview first — about 10+,Nudity & bodies — “Dad! You're shooting BBs at me! Ow! That one hit me in the nipple!”
5,15,0515,15. Adventures In Chinchilla-sitting,1,2,3,3,10,Preview first — about 10+,Sex & hookups — “Or sex determination.”
5,16,0516,16. The Runaway Club,2,2,3,3,10,Preview first — about 10+,Sex & hookups — “And I'm gonna sleep with my eyes open.”
5,17,0517,17. Itty Bitty Ditty Committee,1,4,1,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
5,18,0518,"18. Eat, Spray, Linda",1,1,3,3,10,Preview first — about 10+,Nudity & bodies — “We're coming in! Put your boobs away.”
5,19,0519,19. Housetrap,3,1,2,3,10,Preview first — about 10+,Violence & injury — “Come on! Helen's not a murderer.”
5,20,0520,20. Hawk & Chick,3,1,2,3,10,Preview first — about 10+,"Sex & hookups — “Wait, so these movies are about traveling barbers who fight weird Japanese monsters? So, it's like a less sexual Incredible Hulk? Hmm? That's not a tree.”"
5,21,0521,21. The Oeder Games,3,3,3,3,10,Preview first — about 10+,"Sex & hookups — “I-I run a sex shop, everybody.”"
6,1,0601,1. Sliding Bobs,2,3,2,3,10,Preview first — about 10+,Sex & hookups — “Or it's sexy.”
6,2,0602,2. The Land Ship,2,1,3,3,10,Preview first — about 10+,"Nudity & bodies — “Ugh, Tina, you're such a goody two boobs.”"
6,3,0603,3. The Hauntening,3,1,2,3,10,Preview first — about 10+,Violence & injury — “What do you think it is? It's probably just a murderer.”
6,4,0604,4. Gayle Makin' Bob Sled,3,2,2,3,10,Preview first — about 10+,"Nudity & bodies — “Had his head chopped off, skin removed, big ol' boobs It's Thanksgiving Thanksgiving for everybody 'Cept for Europeans.”"
6,5,0605,5. Nice-Capades,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
6,6,0606,"6. The Cook, the Steve, the Gayle, & Her Lover",3,3,3,3,10,Preview first — about 10+,"Sex & hookups — “Frond make out?! Oh, yeah.”"
6,7,0607,7. The Gene and Courtney Show,1,2,3,3,10,Preview first — about 10+,"Sex & hookups — “1 Ooh, whatcha doing? Making a sexy piggy bank? No, it's the collection box for the Donations 4 Carnations fund-raiser.”"
6,8,0608,8. Sexy Dance Healing,2,2,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “Jairo said to arrive with an empty stomach, an open mind and no underwear.”"
6,9,0609,9. Sacred Couch,1,1,2,2,9,Mild — okay from about 9+,Swearing — “Son of a bitch.”
6,10,0610,10. Lice Things Are Lice,2,1,2,2,9,Mild — okay from about 9+,"Sex & hookups — “When the Amish wanted to build a barn, did they do it themselves? No, Kelly McGillis took a sexy sponge bath and she got Harrison Ford to pitch in.”"
6,11,0611,11. House of 1000 Bounces,2,1,2,2,9,Mild — okay from about 9+,"Porn / strippers / sex work — “DAINKO (high-pitched): Oh, yeah? Well, now I'm a hooker.”"
6,12,0612,12. Stand by Gene,2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “Yeah, don't get your boobs in a bunch.”"
6,13,0613,13. Wag the Hog,3,4,3,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
6,14,0614,14. The Hormone-iums,3,1,2,3,10,Preview first — about 10+,Sex & hookups — “15! 15 cents from the sexy stylist on the stool.”
6,15,0615,15. Pro Tiki Con Tiki,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — “Ooh, our counter's gonna look like a sexy hula dancer! Should I start wearing a coconut bra? No.”"
6,16,0616,16. Bye Bye Boo Boo,2,1,3,3,10,Preview first — about 10+,Violence & injury — “Whoever shot him was good at shooting someone a lot.”
6,17,0617,17. The Horse Rider-Er,2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “I mean, I am happy with how my god's eye straw bra came out.”"
6,18,0618,18. Secret Admiral-irer,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “This hat was once a Tom Skerritt in Top Gun Halloween costume and now look at it.”
6,19,0619,"19. Glued, Where's My Bob?",2,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “And you're waving a knife in my face, which is making me nervous, Lin.”"
7,1,0701,1. Flu-ouise,3,2,2,3,10,Preview first — about 10+,Nudity & bodies — “And about your underwear.”
7,2,0702,2. Sea Me Now,3,1,3,3,10,Preview first — about 10+,"Affairs / cheating — “And didn't she cheat on you, like, a lot? Yes, but I was working seven, eight hours a day, five days a week sometimes.”"
7,3,0703,3. Teen-a Witch,2,1,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Wait, I thought we were gonna be sexy Judge Judys? No, Jocelyn, I'm gonna be a hot mess.”"
7,4,0704,"4. They Serve Horses, Dont They",2,2,3,3,10,Preview first — about 10+,"Nudity & bodies — “'Cause, uh, you're gonna scratch your nipples off.”"
7,5,0705,"5. Large Brother, Where Fart Thou?",2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “Remember when Mom put it under her shirt at the grocery store and pretended she had another boob, and then they made her buy it? (gasps) That was three years ago! We got to throw it.”"
