season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Pilot,3,3,2,3,11,Preview first — about 11+,"Sex & hookups — “Okay, so the perp came in through the window, left the muddy red footprint, and apparently had sex with the dish rack.”"
1,2,0102,2. The Tagger,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Say hello to Harvey Norgenbloom, CPA, recently divorced father of two with a dark sexual secret.”"
1,3,0103,3. The Slump,3,4,3,4,13,Skip for under 13,Sex & hookups — “Fine! Right after I do Rosa's Montreal sex thing.”
1,4,0104,4. M.E. Time,3,5,1,5,16,Heavy — skip for under 16,Sex & hookups — “My fantasy threesome.”
1,5,0105,5. The Vulture,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Yeah, oldest arrest God, you had sex with a 68-year-old when you were in your 20s? You know how it is.”"
1,6,0106,6. Halloween,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Who wants to have sex with a tree? Was it a maple? Was it a maple? Buon giorno, buon giorno.”"
1,7,0107,7. 48 Hours,2,4,3,4,13,Skip for under 13,"Sex & hookups — “Just promise me you won't use the condoms in the secret pocket of your purse, okay? - They're expired.”"
1,8,0108,8. Old School,3,2,2,3,11,Preview first — about 11+,Sex & hookups — “Fun side note I late lost my virginity to Mrs.”
1,9,0109,9. Sal's Pizza,3,2,1,3,11,Preview first — about 11+,"Sex & hookups — “Captain, turn your greatest weakness into your greatest strength, like Paris Hilton Her sex tape.”"
1,10,0110,Thanksgiving,3,1,2,3,11,Preview first — about 11+,"Violence & injury — “It looks like you live on the set of Murder, She Wrote.”"
1,11,0111,Christmas,3,1,2,3,11,Preview first — about 11+,Violence & injury — “Even though I got shot In the butt.”
1,12,0112,Pontiac Bandit,2,4,3,4,13,Skip for under 13,Sex & hookups — “This dude is super horny.”
1,13,0113,The Bet,3,2,3,3,11,Preview first — about 11+,Porn / strippers / sex work — “I ran a prostitution sting through vice and arrested 30 guys for soliciting.”
1,14,0114,The Ebony Falcon,3,2,2,3,11,Preview first — about 11+,"Sex & hookups — “Except now the ebony falcon is monogamous and too tired for sex, so his only indulgence is fresh fruit yogurt parfaits.”"
1,15,0115,Operation: Broken Feather,3,2,2,3,11,Preview first — about 11+,Sex & hookups — “This song is a celebration song from when a dog loses its virginity.”
1,16,0116,The Party,3,1,2,3,11,Preview first — about 11+,"Violence & injury — “Oh, I call that murder where they strung Fishing wire through three guys.”"
1,17,0117,Full Boyle,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Man, charles has been so happy and confident Ever since he hooked up with that professor At the captain's party.”"
1,18,0118,The Apartment,3,3,2,3,11,Preview first — about 11+,"Sex & hookups — “Guys, jump on that! Boyle has psycho-sexual issues.”"
1,19,0119,Tactical Village,3,4,3,4,13,Skip for under 13,Sex & hookups — “He has a sexy voice.”
1,20,0120,Fancy Brudgom,2,4,3,4,13,Skip for under 13,"Sex & hookups — “Jake, I got to tell ya, the engaged life is amazing, - especially sexually.”"
1,21,0121,Unsolvable,3,2,3,3,11,Preview first — about 11+,Nudity & bodies — “We're not allowed to wear anything that protects our breasts.”
1,22,0122,Charges and Specs,1,3,2,3,11,Preview first — about 11+,"Sex & hookups — “Good point, Captain Holt, or should I say ""Captain Raymond sex vibes""? Who knew you had such game? Yes, I've found that many women want what they can't have.”"
2,1,0201,1. Undercover,3,3,3,3,11,Preview first — about 11+,"Sex & hookups — “Nobody can ever know that we had sex, all right? I have spent years cultivating a reputation as someone who sleeps with bike messengers or better.”"
2,2,0202,2. Chocolate Milk,3,4,2,4,13,Skip for under 13,"Sex & hookups — “"" Sergeant, is this gonna go on your ""sperm-anent record""? ""Scrotal recall""! Hey sarge, great news.”"
2,3,0203,3. The Jimmy Jab Games,2,3,2,3,11,Preview first — about 11+,Sex & hookups — “Means ya had sex.”
2,4,0204,4. Halloween II,2,2,3,3,11,Preview first — about 11+,Nudity & bodies — “Pac-man's nipple.”
2,5,0205,5. The Mole,3,4,2,4,13,Skip for under 13,"Sex & hookups — “Ever since then, it's been orgasm-city.”"
2,6,0206,6. Jake and Sophia,3,3,2,3,11,Preview first — about 11+,Sex & hookups — “It's like a had sex with Hans Gruber.”
2,7,0207,7. Lockdown,3,1,3,3,11,Preview first — about 11+,Sex & hookups — “I'm reminding everyone of my embarrassing sexual past 'cause I'm hoping it's the act of charity that gets me into heaven.”
2,8,0208,8. Uspis,1,4,2,4,13,Skip for under 13,Sex & hookups — “This sexy beast was used to open a type of mailbox we actually haven't used in years.”
2,9,0209,9. The Road Trip,2,2,2,2,11,Mild — okay from about 11+,Sex & hookups — “Till then Let's make out? Great plan.”
2,10,0210,The Pontiac Bandit Returns,2,2,3,3,11,Preview first — about 11+,Sex & hookups — “What? Let's make out.”
2,11,0211,Stakeout,1,4,3,4,13,Skip for under 13,"Sex & hookups — “My brother had sex with my wife, and then he ran to the Florida keys.”"
2,12,0212,Beach House,1,1,4,4,13,Skip for under 13,"Sex & hookups — “Listen, Rosa, there's nothing I'd rather do in my life than write a sexy text to your boyfriend, but I think this is something you got to do on your own.”"
2,13,0213,Payback,2,4,3,4,13,Skip for under 13,"Sex & hookups — “And be warned, they just watched Peabody and Sherman, so they're extra horny.”"
2,14,0214,Defense Rests,3,2,2,3,11,Preview first — about 11+,Sex & hookups — “That's too sexy.”
2,15,0215,Windbreaker City,3,2,4,4,13,Skip for under 13,Sex & hookups — “I hope it doesn't get too sexual.”
2,16,0216,The Wednesday Incident,3,2,3,3,11,Preview first — about 11+,Sex & hookups — “Name of Amy's sex tape.”
2,17,0217,Boyle-Linetti Wedding,2,3,3,3,11,Preview first — about 11+,Sex & hookups — “Second was sleeping with a roadie for the Steve Miller Band.”
2,18,0218,Captain Peralta,3,1,3,3,11,Preview first — about 11+,"Nudity & bodies — “Superglue your panties to your butts, ladies, because Jake is in the house! What? Never mind.”"
2,19,0219,Sabotage,3,2,2,3,11,Preview first — about 11+,"Porn / strippers / sex work — “They ate their lettuce, I'm stuck with two bunnies, and lying works! Pretty good gag, huh? A prostitute taught me how to make it.”"
