season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Ambush,1,1,1,1,9,Usually fine — about 9+,
1,2,0102,Rising Malevolence,1,1,1,1,9,Usually fine — about 9+,
1,3,0103,Shadow Malevolence,1,1,1,1,9,Usually fine — about 9+,
1,4,0104,Destroy Malevolence,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “All batteries, open fire! You know, we have guns.”"
1,5,0105,Rookies,1,1,1,1,9,Usually fine — about 9+,Violence & injury — “Big gun doesn't make a big man.”
1,6,0106,Downfall of a Droid,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “What do you mean the laser guns won't fire? Cargo bay doors open.”
1,7,0107,Duel of the Droids,1,1,1,1,9,Usually fine — about 9+,
1,8,0108,Bombad Jedi,1,1,1,1,9,Usually fine — about 9+,
1,9,0109,Cloak of Darkness,1,1,1,1,9,Usually fine — about 9+,
1,10,0110,The Lair of General Grievous,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “These must be trophies taken from the Jedi he's murdered.”
1,11,0111,Dooku Captured,1,1,1,1,9,Usually fine — about 9+,Alcohol & drugs — “Get what? How a bunch of drunken pirates managed to catch Dooku when we couldn't.”
1,12,0112,The Gungan General,1,1,1,1,9,Usually fine — about 9+,
1,13,0113,Jedi Crash,1,1,1,1,9,Usually fine — about 9+,
1,14,0114,Defenders of Peace,1,1,1,1,9,Usually fine — about 9+,
1,15,0115,Trespass,1,2,1,2,9,Mild — okay from about 9+,Affairs / cheating — “This is now an internal affair of Pantora.”
1,16,0116,Hidden Enemy,1,1,1,1,9,Usually fine — about 9+,Violence & injury — “Gun's empty.”
1,17,0117,Blue Shadow Virus,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “You mean murdered.”
1,18,0118,Mystery of a Thousand Moons,1,1,1,1,9,Usually fine — about 9+,"Suicide & self-harm — “I applaud your courage, General Skywalker, but it's suicide.”"
1,19,0119,Storm Over Ryloth,3,1,1,3,10,Preview first — about 10+,Violence & injury — “And I want him to know it is I who has beaten him.”
1,20,0120,Innocents of Ryloth,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “We can't risk landing the larger transports - until you take out those guns.”
1,21,0121,Liberty of Ryloth,1,1,1,1,9,Usually fine — about 9+,
1,22,0122,Hostage Crisis,1,1,1,1,9,Usually fine — about 9+,
2,1,0201,Holocron Heist,1,1,1,1,9,Usually fine — about 9+,
2,2,0202,Cargo of Doom,1,1,1,1,9,Usually fine — about 9+,
2,3,0203,Children of the Force,1,1,1,1,9,Usually fine — about 9+,Affairs / cheating — “It's an internal Jedi affair.”
2,4,0204,Senate Spy,1,1,1,1,9,Usually fine — about 9+,
2,5,0205,Landing at Point Rain,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “Look at that giant wall with all the gun emplacements.”
2,6,0206,Weapons Factory,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “Focus your fire on the gun emplacements here and here Because it's only after we neutralize the guns - that we can push for the factory.”
2,7,0207,Legacy of Terror,1,1,1,1,9,Usually fine — about 9+,
2,8,0208,Brain Invaders,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “Why should we believe you? Look, no guns.”"
2,9,0209,Grievous Intrigue,3,1,1,3,10,Preview first — about 10+,Violence & injury — “Reputation of a coward and a murderer.”
2,10,0210,The Deserter,3,1,1,3,10,Preview first — about 10+,Violence & injury — “Reputation of a coward and a murderer.”
2,11,0211,Lightsaber Lost,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “Maybe the gun market To sell the lightsaber, Within the radius.”"
2,12,0212,The Mandalore Plot,1,1,1,1,9,Usually fine — about 9+,"Affairs / cheating — “I know we sound Defensive, but-- clearly your investigation Was ordered because the senate Is eager to intervene in Our affairs.”"
2,13,0213,Voyage of Temptation,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “Who will strike first and Brand themselves A cold-blooded killer? Anakin What? He was going to blow up The ship.”
2,14,0214,Duchess of Mandalore,3,1,1,3,10,Preview first — about 10+,"Affairs / cheating — “If the republic gets involved In our affairs, It will only lead To further violence.”"
2,15,0215,Senate Murders,3,1,1,3,10,Preview first — about 10+,Violence & injury — “A murderers on the lose and it's my job to find him.”
2,16,0216,Cat and Mouse,1,1,1,1,9,Usually fine — about 9+,
2,17,0217,Bounty Hunters,1,1,1,1,9,Usually fine — about 9+,
