season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. The Fresh Prince Project,1,1,1,1,9,Usually fine — about 9+,Racism & slurs — “I encountered bigotry you could not imagine.”
1,2,0102,"2. Bang the Drum, Ashley",2,1,1,2,9,Mild — okay from about 9+,"Sex & hookups — “Girls, you must remember to practice more, no? Violin is very jealous, much like the sexy Toscanini.”"
1,3,0103,3. Clubba Hubba,2,2,1,2,9,Mild — okay from about 9+,Sex & hookups — “I seem to be painfully shy with the fairer sex.”
1,4,0104,"4. Not with My Pig, You Don't",1,1,1,1,9,Usually fine — about 9+,"Nudity & bodies — “He just loved his skinny-dipping, him and Melvin.”"
1,5,0105,"5. Homeboy, Sweet Homeboy",2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “The boy got a crazy rabbit punch, like you don't even see it coming.”"
1,6,0106,6. Mistaken Identity,2,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “Is that the police? - Punch it, man.”"
1,7,0107,7. Def Poet's Society,2,1,1,2,9,Mild — okay from about 9+,"Suicide & self-harm — “""Panzer-man, panzer-man, O You ""Every woman adores a Fascist ""The boot in the face, the brute ""Brute heart of a brute like you"" Sylvia Plath killed herself shortly after writing this poem.”"
1,8,0108,8. Someday Your Prince Will Be in Effect (1),1,1,1,1,9,Usually fine — about 9+,
1,9,0109,9. Someday Your Prince Will Be in Effect (2),1,1,1,1,9,Usually fine — about 9+,
1,10,0110,Kiss My Butler,1,1,1,1,9,Usually fine — about 9+,
1,11,0111,Courting Disaster,3,1,1,3,10,Preview first — about 10+,"Violence & injury — “Boy, you're lucky that was just a starter's pistol.”"
1,12,0112,Talking Turkey,1,1,1,1,9,Usually fine — about 9+,
1,13,0113,Knowledge is Power,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — “We can punch holes in her credibility.”
1,14,0114,Day Damn One,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “Breathing just enough to keep the blood circulating.”
1,15,0115,Deck the Halls,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — “Five, six, five, six, seven, and Hold it! What the bloody hell kind of song is that? What do you mean? A little kid sees his mom tongue-wrestling with Santa Claus? Will, it's his father dressed up like Santa Claus.”"
1,16,0116,The Lucky Charm,1,1,1,1,9,Usually fine — about 9+,
1,17,0117,The Ethnic Tip,1,1,1,1,9,Usually fine — about 9+,
1,18,0118,The Young and the Restless,1,1,1,1,9,Usually fine — about 9+,Nudity & bodies — “She works in a fancy men's store where even the underwear comes from Europe.”
1,19,0119,It Had to Be You,1,2,1,2,9,Mild — okay from about 9+,"Sex & hookups — “"" Philip, you better sleep with one eye open.”"
1,20,0120,Nice Lady,1,2,1,2,9,Mild — okay from about 9+,"Sex & hookups — “She stole the car, she snuck out to the roughest bar in town and then she hooked up with a human Godzilla.”"
1,21,0121,Love at First Fight,1,1,2,2,9,Mild — okay from about 9+,"Fat-shaming — “What about my mama? Your mama's so fat, they showed her a picture of her feet and she couldn't identify them.”"
1,22,0122,Banks Shot,2,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “$300? What for? Hey, young blood.”"
1,23,0123,72 Hours,1,1,2,2,9,Mild — okay from about 9+,
1,24,0124,Just Infatuation,1,1,1,1,9,Usually fine — about 9+,
1,25,0125,Working It Out,1,1,1,1,9,Usually fine — about 9+,Alcohol & drugs — “Did you send him a bottle of champagne like I told you for the premiere of his crappy movie? You said this morning you were thinking of sending him something but didn't know what.”
2,1,0201,1. Did the Earth Move for You?,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — “Pardon me while I go get a knife.”
2,2,0202,2. The Mother of All Battles,3,1,1,3,10,Preview first — about 10+,"Nudity & bodies — “Like, picture Mike Tyson in a training bra.”"
2,3,0203,3. Will Gets a Job,1,1,2,2,9,Mild — okay from about 9+,Nudity & bodies — “I wonder if it shows too much cleavage.”
2,4,0204,4. PSAT Pstory,1,1,1,1,9,Usually fine — about 9+,"Affairs / cheating — “Carlton, I don't think they'll send you to prison for cheating on a test.”"
2,5,0205,5. Granny Gets Busy,1,1,1,1,9,Usually fine — about 9+,Nudity & bodies — “Just come out naked.”
2,6,0206,6. Guess Who's Coming to Marry?,2,3,2,3,10,Preview first — about 10+,Sex & hookups — “I want to sleep with Carlton.”
2,7,0207,7. The Big Four-Oh,1,1,1,1,9,Usually fine — about 9+,"Nudity & bodies — “You know, Uncle Phil most husbands wouldn't want their wives running off half naked to a bunch of bulging, masculine dancers that's gonna be grabbing them and lifting them in places their husbands forgot existed.”"
2,8,0208,8. She Ain't Heavy,2,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “This is the episode of Star Trek where Captain Kirk sleeps with that green girl.”
2,9,0209,9. Cased Up,3,1,1,3,10,Preview first — about 10+,"Violence & injury — “Dude's got a gun, next thing you know I got six warning shots in my back.”"
2,10,0210,Hi-Ho Silver,1,1,2,2,9,Mild — okay from about 9+,"Violence & injury — “We need that little white lady from Murder, She Wrote.”"
2,11,0211,The Butler Did It,3,1,2,3,10,Preview first — about 10+,"Violence & injury — “Well, we were, but there's some big shot in the suite next door and he's been tying up the hotel staff all weekend.”"
2,12,0212,Something for Nothing,1,2,1,2,9,Mild — okay from about 9+,"Sex & hookups — “How was Heaven when you left it? Anybody ever tell you, you sure look sexy when you deal? We all have.”"
2,13,0213,Christmas Show,1,3,2,3,10,Preview first — about 10+,Sex & hookups — “Unless he is on a mule with a pregnant virgin he ain't getting in here.”
2,14,0214,Hilary Gets a Life,1,2,2,2,9,Mild — okay from about 9+,Sex & hookups — “If you move the TV any closer to the bed I'll be sleeping with Jay Leno.”
2,15,0215,My Brother's Keeper,3,1,2,3,10,Preview first — about 10+,"Violence & injury — “You back again for another pre-game haircut? How you doing, young blood? Just a poor black man trying to make it in Bel-Air, Mr.”"
2,16,0216,Geoffrey Cleans Up,1,1,2,2,9,Mild — okay from about 9+,Alcohol & drugs — “Would anyone care for a cocktail weenie? I guess I forgot to go to the grocery store.”
2,17,0217,Community Action,2,1,2,2,9,Mild — okay from about 9+,Nudity & bodies — “I sleep naked with the window open.”
2,18,0218,Ill Will,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — “Yeah, what if my friends find out I sleep with a hand puppet? Move over, Carlton.”"
2,19,0219,Eyes on the Prize,1,1,1,1,9,Usually fine — about 9+,Racism & slurs — “They all look alike to me.”
2,20,0220,Those Were the Days,1,2,2,2,9,Mild — okay from about 9+,Nudity & bodies — “I wanted to do something meaningful and artistic but ain't nobody getting naked.”
2,21,0221,Vying for Attention,1,2,2,2,9,Mild — okay from about 9+,"Nudity & bodies — “Mom! You half-naked! Come on, you don't want Robert to get the wrong idea.”"
2,22,0222,The Aunt Who Came to Dinner,1,2,3,3,10,Preview first — about 10+,Sex & hookups — “Do you know the French word for foreplay? Because there isn't one.”
2,23,0223,Be My Baby Tonight,1,2,1,2,9,Mild — okay from about 9+,Sex & hookups — “That's what I call safe sex.”
2,24,0224,Strip-Tease for Two,2,4,2,4,13,Skip for under 13,Nudity & bodies — “Between King Thong and Rambro.”
3,1,0301,1. How I Spent My Summer Vacation,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — “Woman, please do you think that you can manipulate me with sex? Does James Brown have a perm? Oh, Lord, I don't know whether to dive under the table or do the running man.”"
3,2,0302,2. Will Gets Committed,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — “Hook up with my man Noah, set up a schedule.”"
3,3,0303,"3. That's No Lady, That's My Cousin",1,4,2,4,13,Skip for under 13,Nudity & bodies — “Am I as superficial as all those guys I warned Ashley about? I mean could it be that I'm more obsessed with breasts and thighs than Colonel Sanders ever was?”
3,4,0304,4. Hilary Gets a Job,2,3,1,3,10,Preview first — about 10+,"Sex & hookups — “Hi, Carla, any calls? Just another Ionely white woman wanting to sleep with you.”"
