season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Our Very First Show,2,1,1,2,8,Mild — okay from about 8+,
1,2,0102,2. Our Very First Night,1,1,1,1,7,Usually fine — about 7+,
1,3,0103,3. The First Day of School,1,1,1,1,7,Usually fine — about 7+,
1,4,0104,4. The Return of Grandma,2,1,2,2,8,Mild — okay from about 8+,
1,5,0105,5. Sea Cruise,1,1,1,1,7,Usually fine — about 7+,"Sex & hookups — You gotta admit, it is kind of sexy out here."
1,6,0106,6. Daddy's Home,1,1,2,2,8,Mild — okay from about 8+,Nudity & bodies — No clean underwear.
1,7,0107,7. Knock Yourself Out,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Yeah, girls, nobody can take a punch like your father."
1,8,0108,8. Jesse's Girl,3,1,1,3,10,Preview first — about 10+,Sex & hookups — I think that a sense of humor is a very sexy quality in a man.
1,9,0109,9. The Miracle of Thanksgiving,1,1,1,1,7,Usually fine — about 7+,Alcohol & drugs — I'll get us some traditional pumpkin margaritas.
1,10,0110,Joey's Place,2,1,1,2,8,Mild — okay from about 8+,
1,11,0111,The Big Three-O,1,1,1,1,7,Usually fine — about 7+,
1,12,0112,Our Very First Promo,2,2,1,2,8,Mild — okay from about 8+,"Sex & hookups — "" Steph, did you make that noise? Why would I make a noise that's scaring me to death? Could I sleep with you in your bed? All right."
1,13,0113,Sisterly Love,1,1,1,1,7,Usually fine — about 7+,Fat-shaming — You don't want a corned-beef sandwich on rye? It's extra fatty.
1,14,0114,Half A Love Story,2,1,1,2,8,Mild — okay from about 8+,Sex & hookups — There's something about a man with a baby that's so sexy and so hard to resist.
1,15,0115,A Pox in Our House,2,1,1,2,8,Mild — okay from about 8+,
1,16,0116,"But Seriously, Folks",3,1,1,3,10,Preview first — about 10+,Violence & injury — This is comedy murder.
1,17,0117,Danny's Very First Date,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — This sweet, young child is your own flesh and blood."
1,18,0118,Just One of the Guys,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — You see, it's in our blood."
1,19,0119,The Seven-Month Itch (1),1,1,1,1,7,Usually fine — about 7+,"Alcohol & drugs — Sammy, brought you some champagne."
1,20,0120,The Seven-Month Itch (2),1,1,2,2,8,Mild — okay from about 8+,
1,21,0121,Mad Money,1,1,1,1,7,Usually fine — about 7+,Violence & injury — I need a knife.
1,22,0122,D.J. Tanners's Day Off,1,1,1,1,7,Usually fine — about 7+,
2,1,0201,1. Cutting It Close,2,1,1,2,8,Mild — okay from about 8+,Alcohol & drugs — You're gonna need a weed whacker for that bush.
2,2,0202,2. Tanner vs. Gibbler,1,1,1,1,7,Usually fine — about 7+,Nudity & bodies — Nobody was in their underwear.
2,3,0203,3. It's Not My Job,2,1,1,2,8,Mild — okay from about 8+,
2,4,0204,4. D.J.'s Very First Horse,2,1,1,2,8,Mild — okay from about 8+,
2,5,0205,5. Jingle Hell,3,1,1,3,10,Preview first — about 10+,Violence & injury — And you stabbed me in the back with it.
2,6,0206,6. Beach Boy Bingo,1,1,1,1,7,Usually fine — about 7+,
