season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Space Pilot 3000,3,2,4,4,13,Skip for under 13,"Sex & hookups — Scene: Planet Express, Lounge. Farnsworth and Fry are hooked up to a machine. It dings and a red light flashes."
1,2,0102,The Series Has Landed,3,2,3,3,11,Preview first — about 11+,Sex & hookups — (15:46) ⨂Farmer: I'll learn ye to sleep with my robot daughters!
1,3,0103,"I, Roommate",3,1,3,3,11,Preview first — about 11+,"Sex & hookups — (06:49) ⨂Bender: [sleep-talking] Hey, sexy mama, wanna kill all the humans?"
1,4,0104,Love's Labours Lost in Space,3,2,3,3,11,Preview first — about 11+,Sex & hookups — (01:33) ⨂Hermes: The Federal Sex Bureau.
1,5,0105,Fear of a Bot Planet,3,2,3,3,11,Preview first — about 11+,Sex & hookups — (10:42) ⨂Announcer: [on radio in movie] : We interrupt this sound file to bring you a terrifying announcement. A non-metallic being has been sighted in the vicinity of Make Out Point.
1,6,0106,A Fishful of Dollars,3,1,4,4,13,Skip for under 13,Sex & hookups — (08:50) ⨂Amy: That's true. On a TV like this I bet you couldn't even make out my obscene tattoo.
1,7,0107,My Three Suns,3,2,3,3,11,Preview first — about 11+,"Porn / strippers / sex work — (01:54) ⨂Bender: No, of course not! It was ... uh ... porno! Yeah, that's it!"
1,8,0108,A Big Piece of Garbage,3,1,3,3,11,Preview first — about 11+,"Sex & hookups — Female Scientist: “[in movie] Now that the garbage is in space, doctor, perhaps you can help me with my sexual inhibitions.”"
1,9,0109,Hell Is Other Robots,3,2,3,3,11,Preview first — about 11+,"Sex & hookups — Scene: Room. Fender presses a button, a door slides open and in the room are three robots hooked up to a machine which discharges electricity. It shocks them and they groan."
2,1,0201,A Flight to Remember,3,2,3,3,11,Preview first — about 11+,"Sex & hookups — Bender: “Well, now you know. I'm not actually rich. I'm a fraud. A poor, lazy, sexy fraud. This isn't even a real bow-tie, it's magnetic.”"
2,2,0202,Mars University,3,1,3,3,11,Preview first — about 11+,"Nudity & bodies — Sexy blondes pillow fight in their slinky underwear, another takes her towel off and steps into the shower and another takes a haiband out of her hair and starts typing on a Mac."
2,3,0203,When Aliens Attack,3,4,3,4,13,Skip for under 13,"Sex & hookups — Judge: “[on TV] Counselor, I remind you that it's unethical to sleep with your client. If you really care about the outcome of the case, you should sleep with me.”"
