season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
0,1,0001,6-18,1,1,1,1,8,Usually fine — about 8+,
0,2,0002,A Tale of Two Stans,3,1,1,3,10,Preview first — about 10+,Violence & injury — And so the Murder Hut was born!
0,3,0003,Between the Pines,3,1,1,3,10,Preview first — about 10+,Sex & hookups — …is circled; a frame of The Legend of the Gobblewonker which is zoomed into Stan's license plate; Stan sleeping with The Plot Twist highlighted; Dipper and Mabel standing outside of the kitchen and the camera zooming…
0,4,0004,Blendin's Game,3,1,1,3,10,Preview first — about 10+,"Violence & injury — You're right, Dipper! It's time for us to bring out the big guns!"
0,5,0005,Boss Mabel,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — (steps out from behind the porta-potty, showing he only has his foam question mark and underwear on) revealing, than I expected?"
0,6,0006,Bottomless Pit!,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Well, take this! (Hits a button but hits himself in the eye) Ow! And this! (Punches himself again) Ow! It hurts. I wish this was working better. And this! Aw, dude! (Knocks himself down)"
0,7,0007,Boyz Crazy,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Finally, a good reason to punch a teenager in the face. Let's roll!"
0,8,0008,Candy Monster,1,1,1,1,8,Usually fine — about 8+,"Nudity & bodies — Ew, it's like a... naked little man."
0,9,0009,Carpet Diem,3,1,2,3,10,Preview first — about 10+,Nudity & bodies — At least I wash my clothes once in a while. (Picks up a pair of underwear with the fun stick)
0,10,0010,Cryptograms (short),1,1,1,1,8,Usually fine — about 8+,"Violence & injury — (Cut to a clip of Manotaurs cheering, with one holding another in a headlock and punching him in the face."
0,11,0011,Dipper and Mabel vs. the Future,3,1,1,3,10,Preview first — about 10+,Violence & injury — This magnet gun can rip the fillings out of a man's mouth from 100 feet.
0,12,0012,Dipper vs. Manliness,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — I have three Y chromosomes, six adam's apples, pecs on my abs and FISTS FOR NIPPLES!"
0,13,0013,Double Dipper,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Robbie, you're a stupid, arrogant fraud; but kiss me anyway because you can play guitar. Oh wait, I forgot something. (Walks over and punches Dipper; to Robbie:) LET'S GET MARRIED TONIGHT!"
