season,episode,code,title,violence,sex,language,overall,verdict,example_1
1,1,0101,1. Pilot,1,4,4,4,Strong — skip for little kids,"Sex & hookups — And then you're engaged, you pop the champagne, you drink a toast, you have sex on the kitchen floor."
1,2,0102,2. Purple Giraffe,1,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — But may I suggest one little modification? BARNEY: That foxy young thing you were chatting up? Take her up…
1,3,0103,3. Sweet Taste of Liberty,2,1,3,3,Moderate — better for older kids / preteens,"Swearing — Hey, is that Marshall? Marshall, stop whatever you're doing, get in that hoopty-ass Fiero of yours and come…"
1,4,0104,4. Return of the Shirt,2,5,3,5,Heavy — not kid-friendly,Sex & hookups — Did you sleep with her sister? - No.
1,5,0105,5. Okay Awesome,1,4,4,4,Strong — skip for little kids,Sex & hookups — Not exactly a VIP room virgin.
1,6,0106,6. Slutty Pumpkin,1,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I have sex with my parrot all the time.
1,7,0107,7. Matchmaker,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Shake well, then sleep with."
1,8,0108,8. The Duel,3,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Sexual jokes, hookups, or dating-sex talk."
1,9,0109,9. Belly Full of Turkey,1,4,2,4,Strong — skip for little kids,Porn / strippers — Thanksgiving in a strip club.
1,10,0110,10. The Pineapple Incident,2,1,3,3,Moderate — better for older kids / preteens,"Swearing — And how'd you guys like the shots? - I drank all five, bitch! - I love drunk Ted."
1,11,0111,11. The Limo,1,1,4,4,Strong — skip for little kids,"Sex & hookups — Look, so your date fell through, so what? What do you need a date for? Someone to kiss at midnight? Fine."
1,12,0112,12. The Wedding,2,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Claudia and Stuart? I mean, I've hooked up with the odd lass who was beneath my level of attractiveness."
1,13,0113,"13. Drumroll, Please",1,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I never hook up at weddings.
1,14,0114,"14. Zip, Zip, Zip",1,4,4,4,Strong — skip for little kids,Sex & hookups — You've only had sex with one girl in your whole life.
1,15,0115,15. Game Night,1,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Well, I was in a really crappy relationship in college, and I wound up kissing this guy at a party one nigh…"
1,16,0116,16. Cupcake,2,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — It's all taIking and no sex.
1,17,0117,17. Life Among the Gorillas,1,2,3,3,Moderate — better for older kids / preteens,"Sex & hookups — If you've unfolded this note, your kiss already got out."
1,18,0118,18. Nothing Good Happens After 2 A.M.,2,4,2,4,Strong — skip for little kids,Sex & hookups — We should have sex.
1,19,0119,19. Mary the Paralegal,1,5,3,5,Heavy — not kid-friendly,"Sex & hookups — By escort, you mean prostitute? - Why not? - Because gross? Oh, what, gross? What, you have some puritanica…"
1,20,0120,20. Best Prom Ever,2,4,3,4,Strong — skip for little kids,"Sex & hookups — At the wedding, do not sleep with anyone even remotely related to me."
1,21,0121,21. Milk,2,1,3,3,Moderate — better for older kids / preteens,"Nudity & bodies — You're going to show me your hair? Actually, I was going to show you my breasts, but, sure, we can do hair."
1,22,0122,22. Come On,1,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — I was hoping to finally have sex with you this weekend, Scherbatsky."
2,1,0201,1. Where Were We?,3,4,3,4,Strong — skip for little kids,"Sex & hookups — I got to hand it to you, when he got home, Marshall was smiling-- did you sleep with him? 'Cause I was actu…"
2,2,0202,2. The Scorpion and the Toad,2,4,4,4,Strong — skip for little kids,"Sex & hookups — Well, I guess we're just a threesome tonight."
2,3,0203,3. Brunch,3,2,2,3,Moderate — better for older kids / preteens,Sex & hookups — I hooked up with a waitress.
2,4,0204,4. Ted Mosby: Architect,3,2,5,5,Heavy — not kid-friendly,"Sex & hookups — Carl, do you really want to be with a woman who would trade sex for beer? Only if you're into it."
2,5,0205,5. World's Greatest Couple,1,4,3,4,Strong — skip for little kids,"Sex & hookups — We stayed in on a Friday night to watch Letterman, and then slept together and didn't have sex? Oh, my God,…"
2,6,0206,6. Aldrin Justice,1,4,1,4,Strong — skip for little kids,"Sex & hookups — I didn't challenge you to have sex - Tomorrow, the cougar hunt begins."
2,7,0207,7. Swarley,2,4,2,4,Strong — skip for little kids,Sex & hookups — Would you like to have a threesome? Of course.
2,8,0208,8. Atlantic City,1,4,3,4,Strong — skip for little kids,Sex & hookups — Lily totally ran off to San Francisco and these two just had sex in the closet.
2,9,0209,9. Slap Bet,1,5,2,5,Heavy — not kid-friendly,Sex & hookups — She does have the fake orgasm noises down.
2,10,0210,10. Single Stamina,2,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I'm a pretty girl and everybody everywhere wants to buy me drinks and have sex with me.
2,11,0211,11. How Lily Stole Christmas,1,1,4,4,Strong — skip for little kids,Sex & hookups — You kiss your mother with that mouth? Like you've never said that word.
2,12,0212,12. First Time in New York,1,5,3,5,Heavy — not kid-friendly,"Sex & hookups — You meet, you talk, you have sex, you exit when she's in the shower."
2,13,0213,13. Columns,1,4,2,4,Strong — skip for little kids,Nudity & bodies — Now you're ready for naked Marshall.
2,14,0214,14. Monday Night Football,1,2,3,3,Moderate — better for older kids / preteens,Nudity & bodies — I'm going out of this world the same way I came into it-- buck naked.
2,15,0215,15. Lucky Penny,1,4,1,4,Strong — skip for little kids,Nudity & bodies — What thing? - A penis.
2,16,0216,16. Stuff,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Okay, so you have to have sex with one."
2,17,0217,"17. Arrivederci, Fiero",3,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — I'm not going to get tied down by the first chick I hook up with.
2,18,0218,18. Moving Day,3,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — So, you get to have sex and we get to wake some skanky girl up in the morning and kick her out? God, Lily."
2,19,0219,19. Bachelor Party,2,4,2,4,Strong — skip for little kids,"Sex & hookups — Marriage is like jail! Right, fellas?! But at least in jail, you get to have sex! But we're not lighting th…"
2,20,0220,20. Showdown,2,1,3,3,Moderate — better for older kids / preteens,Sex & hookups — Why don't you kiss? I love it when two chicks make out.
2,21,0221,21. Something Borrowed,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — You may kiss the bride.
2,22,0222,22. Something Blue,1,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — I hooked up with an Argentinean exchange student in a Porta-John outside Yankee Stadium.
3,1,0301,1. Wait for It,1,4,3,4,Strong — skip for little kids,Sex & hookups — You cannot have sex on a windsurfing board.
3,2,0302,2. We're Not from Here,3,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — We pretended to be from out of town so we could sleep with you and leave in the morning.
3,3,0303,3. Third Wheel,2,4,3,4,Strong — skip for little kids,Sex & hookups — That would be like Jimmy Olsen capturing Lex Luthor while Superman watches impotently from the bedroom.
3,4,0304,4. Little Boys,2,4,2,4,Strong — skip for little kids,Sex & hookups — But I can't sleep with her again.
3,5,0305,5. How I Met Everyone Else,2,2,1,2,Mild — okay for many kids with a parent,"Sex & hookups — You know, when Ted and I were cooking and our hands touched for the first time, I knew right then that afte…"
3,6,0306,6. I'm Not That Guy,2,5,3,5,Heavy — not kid-friendly,"Sex & hookups — Okay, I just found out I found a porno starring Ted Mosby! What are you what are talking about? I'm talking…"
3,7,0307,7. Dowisetrepla,3,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — So is that a yes? You can't sleep with other women though.
3,8,0308,8. Spoiler Alert,2,4,2,4,Strong — skip for little kids,"Sex & hookups — One time, in the tenth grade, as a joke, I told everyone that my English teacher had sex with me."
3,9,0309,9. Slapsgiving,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — How does it feel, Marshall, to sit there, impotently your large, flaccid hand, just dangling in the wind? T…"
3,10,0310,10. The Yips,2,5,4,5,Heavy — not kid-friendly,"Sex & hookups — Barney Barney, you need to find a girl and have sex with her ASAP."
3,11,0311,11. The Platinum Rule,3,4,2,4,Strong — skip for little kids,"Porn / strippers — Oh, but Ted, if you get rid of the butterfly, how's everyone gonna know you're a stripper from Reno with Da…"
3,12,0312,12. No Tomorrow,2,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — I really just want to hook up with you, leave before breakfast, and never see you again."
3,13,0313,13. Ten Sessions,1,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — Ted, do you know how long it takes a woman to decide whether or not she's going to sleep with a guy? After…"
3,14,0314,14. The Bracket,2,4,3,4,Strong — skip for little kids,Sex & hookups — Sleeping with Barney was the biggest mistake of my life.
3,15,0315,15. The Chain of Screaming,2,1,4,4,Strong — skip for little kids,"Sex & hookups — You made yourself look bad, you made this company look bad, and quite frankly, you made our friends, the No…"
3,16,0316,16. Sandcastles in the Sand,3,2,3,3,Moderate — better for older kids / preteens,Sex & hookups — I'd even consider not trying to sleep with her if that's what it takes.
3,17,0317,17. The Goat,2,4,3,4,Strong — skip for little kids,Sex & hookups — Is he all smooth down there? Three billion women on the planet! Three billion! And you have to sleep with t…
3,18,0318,18. Rebound Bro,2,5,2,5,Heavy — not kid-friendly,"Sex & hookups — You guys haven't had sex yet?! When Marshall and I were two months in, we were doing it 24/7."
3,19,0319,19. Everything Must Go,1,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — Did I sleep with you and then totally screw you over? No.
3,20,0320,20. Miracles,2,1,3,3,Moderate — better for older kids / preteens,Swearing — Was that a breakup? Did he think that was a breakup? What? Son of a bitch! That was a breakup.
4,1,0401,1. Do I Know You?,1,4,4,4,Strong — skip for little kids,"Sex & hookups — I sleep with that chick, I'm thinking about Robin."
4,2,0402,2. The Best Burger in New York,1,2,3,3,Moderate — better for older kids / preteens,"Nudity & bodies — The bun, like a sesame freckled, breast of an angel, resting gently on the ketchup and mustard below."
4,3,0403,3. I Heart NJ,3,2,2,3,Moderate — better for older kids / preteens,Sex & hookups — And sometimes they'd pick up the phone and they'd call me and then we'd hook up again.
4,4,0404,4. Intervention,3,3,2,3,Moderate — better for older kids / preteens,"Sex & hookups — Now, Cindy, I know this sounds insane, but in order to save the planet, You need to sleep with him tonight."
4,5,0405,5. Shelter Island,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — HOW CAN I HAVE SEX WITH ROBIN AGAIN ? VULNERABLE NOSTALGIC BOOZE Then, at last I cracked the code."
4,6,0406,6. Happily Ever After,2,1,4,4,Strong — skip for little kids,"Sex & hookups — Teammates don't kiss! Hockey players don't kiss! Oh, my God."
4,7,0407,7. Not a Father's Day,2,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — What do you mean you're gonna be a dad? How did, how did this happen? It was just some girl I hook up with…"
4,8,0408,8. Woooo!,2,4,5,5,Heavy — not kid-friendly,Sex & hookups — You're all a bunch of prostitutes.
4,9,0409,9. The Naked Man,2,5,4,5,Heavy — not kid-friendly,"Sex & hookups — She's so charmed by your confidence and bravado, she sleeps with you."
4,10,0410,10. The Fight,3,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — And everyone is going to think it's great and everyone is going to sleep with me again.
