season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Pilot,3,1,2,3,11,Preview first — about 11+,"Sex & hookups — “Peggy! - In fact, Hank's sperm count - That's enough.”"
1,2,0102,Square Peg,1,5,2,5,16,Heavy — skip for under 16,Sex & hookups — “You talk about them dang old condom dispenser with them be.”
1,3,0103,The Order of the Straight Arrow,2,1,2,2,11,Mild — okay from about 11+,Nudity & bodies — “Would it kill a tree if she wore a bra? [Radio static.]”
1,4,0104,Hank's Got the Willies,1,1,2,2,11,Mild — okay from about 11+,"Alcohol & drugs — “Dale, I bought you a beer.”"
1,5,0105,Luanne's Saga,1,4,2,4,13,Skip for under 13,"Nudity & bodies — “Son, have you lost your mind? Aren't you supposed to knock first? I could've been naked.”"
1,6,0106,Hank's Unmentionable Problem,2,1,2,2,11,Mild — okay from about 11+,Sex & hookups — “Maybe Kahn'll let you borrow his sexy little import.”
1,7,0107,Westie Side Story,3,1,2,3,11,Preview first — about 11+,"Violence & injury — “And I'm a lucky son of a gun, I'll tell you what to have a woman like you care so much about me.”"
1,8,0108,Shins of the Father,3,1,2,3,11,Preview first — about 11+,"Porn / strippers / sex work — “So, I'm buying you a hooker.”"
1,9,0109,Peggy the Boggle Champ,1,1,2,2,11,Mild — okay from about 11+,Alcohol & drugs — “I think I need one of those $8 beers.”
1,10,0110,Keeping Up with Our Joneses,1,1,2,2,11,Mild — okay from about 11+,"Sex & hookups — “It's gonna give you a low sperm count, man.”"
1,11,0111,King of the Ant Hill,3,1,2,3,11,Preview first — about 11+,Violence & injury — “I got to pull out the big gun.”
1,12,0112,Plastic White Female,1,1,3,3,11,Preview first — about 11+,Swearing — “What a bitch.”
2,1,0201,How to Fire a Rifle Without Really Trying,3,1,2,3,11,Preview first — about 11+,Violence & injury — “We should get him a rifle and Bobby is too young to own a rifle.”
2,2,0202,Texas City Twister,2,3,2,3,11,Preview first — about 11+,"Sex & hookups — “Keep going! Use the momentum! All right, way to go! Do you think Alex Trebek is sexy, Aunt Peg? Get out of my mind.”"
2,3,0203,The Arrowhead,2,1,1,2,11,Mild — okay from about 11+,"Nudity & bodies — “That's right, they're breasts! Big deal! Excuse me, Professor, I'm Hank Hill.”"
2,4,0204,Hilloween,3,2,2,3,11,Preview first — about 11+,"Sex & hookups — “I guess the old saying ""Sex kills.”"
2,5,0205,"Jumpin' Crack Bass (It's a Gas, Gas, Gas)",2,1,2,2,11,Mild — okay from about 11+,"Violence & injury — “How about some fluorescent salmon eggs or marshmallow bait, or some blood-dough balls? I tried those before.”"
2,6,0206,Husky Bobby,1,1,1,1,11,Usually fine — about 11+,"Sex & hookups — “Are you too sexy for your shirt or aren't you? I'm sorry, Mr.”"
2,7,0207,The Man Who Shot Cane Skretteburg,3,1,2,3,11,Preview first — about 11+,Sex & hookups — “The man whose sperm struggled through that tiny urethra God cursed you with to create our wonderful son.”
2,8,0208,The Son That Got Away,1,2,2,2,11,Mild — okay from about 11+,Sex & hookups — “It's either the place where old people go to die or young people go to make out.”
2,9,0209,The Company Man,3,4,2,4,13,Skip for under 13,Porn / strippers / sex work — Stripper or strip-club material shows up in the plot.
2,10,0210,Bobby Slam,3,2,3,3,11,Preview first — about 11+,Sex & hookups — “Title 9 of the civil rights act clearly prohibits sex discrimination in public schools and guarantees equal athletic opportunities for all boys and girls.”
2,11,0211,The Unbearable Blindness of Laying,2,2,2,2,11,Mild — okay from about 11+,Sex & hookups — “I didn't fight off a bunker full of horny privates to let you cop a feel.”
2,12,0212,Meet the Manger Babies,2,1,2,2,11,Mild — okay from about 11+,"Violence & injury — “You put 30 kids in there, and lose their attention fruit punch all over my new carpet.”"
2,13,0213,Snow Job,1,1,1,1,11,Usually fine — about 11+,
2,14,0214,I Remember Mono,1,1,2,2,11,Mild — okay from about 11+,"Alcohol & drugs — “hey, hank, did you ever wonde r what it'd be like to drink beer standin' over there? Curiosity killed the cat, dale.”"
2,15,0215,Three Days of the Kahndo,1,2,2,2,11,Mild — okay from about 11+,"Nudity & bodies — “Now, the last time bobby went to mexico, he was still on the breast.”"
2,16,0216,Traffic Jam,2,1,2,2,11,Mild — okay from about 11+,"Sex & hookups — “Uh-huh, uh Your urethra is so narrow sperm be going through there single file.”"
2,17,0217,Hank's Dirty Laundry,1,3,2,3,11,Preview first — about 11+,"Sex & hookups — “I'm doin' this for all of you! Do you know this guy? No dadgum way, man! That's some dirty old man, hanging around sex toys, man.”"
2,18,0218,The Final Shinsult,2,1,1,2,11,Mild — okay from about 11+,Violence & injury — “My dad can't even load his own hunting rifle anymore.”
2,19,0219,Leanne's Saga,3,1,2,3,11,Preview first — about 11+,"Sex & hookups — “? I've been watching you for days now, baby ? ? I just love your sexy ways now, baby ?”"
2,20,0220,Junkie Business,2,1,2,2,11,Mild — okay from about 11+,"Sex & hookups — “You can't ask about age, race, religion, or sexual affiliation.”"
2,21,0221,"Life in the Fast Lane, Bobby's Saga",2,1,2,2,11,Mild — okay from about 11+,Violence & injury — “Witchard? Jimmy witchard? You told bobby to listen to jimmy witchard? He was in my gun club.”
2,22,0222,Peggy's Turtle Song,1,1,2,2,11,Mild — okay from about 11+,"Alcohol & drugs — “Me and some of my students take over the back room at earl's, drink some wine, play songs, just kind of take a little potshot at the holiday.”"
2,23,0223,Propane Boom (1),3,1,2,3,11,Preview first — about 11+,Violence & injury — “why is the pope holding that gun? That is not the pope.”
3,1,0301,Death of a Propane Salesman (2),1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
3,2,0302,And They Call It Bobby Love,1,1,1,1,11,Usually fine — about 11+,Alcohol & drugs — “( Bill sighs ) BILL WHAT ARE YOU DOING? I'M DRINKING BEER.”
3,3,0303,Peggy's Headache,1,2,2,2,11,Mild — okay from about 11+,Affairs / cheating — “SHE'S HAVING AN AFFAIR.”
3,4,0304,Pregnant Paws,2,2,2,2,11,Mild — okay from about 11+,Sex & hookups — “OR IF THAT'S UNACCEPTABLE I CAN PRESCRIBE A SPECIFIC SERIES OF SEXUAL TECHNIQUES.”
3,5,0305,Next of Shin,1,2,2,2,11,Mild — okay from about 11+,Sex & hookups — “HILL BUT I DO HAVE TO MEASURE YOUR SPERM COUNT.”
