season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Welcome to Republic City,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — [Roku firebends three fire punches to the right side, and turns around and bends an arc of fire.] Air."
1,2,0102,A Leaf in the Wind,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Among the equipment are punching bags, dumbbell weights, nets, pommel horses, and earth disks."
1,3,0103,The Revelation,2,4,1,4,13,Skip for under 13,Sex & hookups — The protester squeals as Korra grabs the hem of his shirt and pulls him up. Cut to a side shot of the threesome.
1,4,0104,The Voice in the Night,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Who's this Tarrlok guy? Is he bothering you? Huh, 'cause I could have a word with him. [Punches fist into his other hand.]"
1,5,0105,The Spirit of Competition,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — He immediately retaliates with two fire punches.
1,6,0106,And the Winner is...,3,1,1,3,10,Preview first — about 10+,Violence & injury — The Ferret brothers are backed up to zone three and the Wolfbats smell blood.
1,7,0107,The Aftermath,3,1,1,3,10,Preview first — about 10+,"Violence & injury — She breaks the glass by stabbing the front, missing the Equalist inside who dodges."
1,8,0108,When Extremes Meet,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — She runs toward him intending to vaporize him, but she is halted by Tarrlok as he begins to perform bloodbending."
1,9,0109,Out of the Past,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — But the heated argument quickly turned into an all-out bending battle! Desperate to save himself, Tarrlok revealed his ability to bloodbend and took Korra far from Republic City."
1,10,0110,Turning the Tides,3,1,1,3,10,Preview first — about 10+,Violence & injury — It all makes sense now. That's how Tarrlok was able to bloodbend us without a full moon.
1,11,0111,Skeletons in the Closet,1,1,1,1,9,Usually fine — about 9+,"Violence & injury — [Cut to inside Tarrlok's cell looking outward at Mako and Korra.] He's a waterbender and a bloodbender, [Frontal shot of Tarrlok as he lifts his head up.] just like I was."
1,12,0112,Endgame,3,1,1,3,10,Preview first — about 10+,"Violence & injury — He's a waterbender, a bloodbender, and brother to Tarrlok!"
2,1,0201,Rebel Spirit,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — …pose.] because when you back a Fire Ferret in the corner, well mister, [He throws a strong downward punch.] he comes out fighting!"
2,2,0202,The Southern Lights,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Cut to Korra as she readies her stance, and subsequently punches the frozen portal with airbending, but to no effect. Korra tries to firebend at the portal, but still with no results."
2,3,0203,Civil Wars (1),2,1,1,2,9,Mild — okay from about 9+,Violence & injury — [Holds Bolin's shoulder.] Ending a relationship is kind of like pulling off a blood-sucking leech. You just gotta rip it off and get it over with. You'll feel a lot better afterwards. Trust me.
2,4,0204,Civil Wars (2),1,1,1,1,9,Usually fine — about 9+,
2,5,0205,Peacekeepers,3,1,1,3,10,Preview first — about 10+,Violence & injury — Explain why my boyfriend stabbed me in the back?
2,6,0206,The Sting,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — [Evil Unalaq looks ahead, while Nuktuk punches him off balances.] When Unalaq starts trouble, he'll punch him in the mouth."
2,7,0207,Beginnings (1),2,1,1,2,9,Mild — okay from about 9+,Violence & injury — Wan tests out his newly-received ability by punching in front of him. The blast he creates sends him tumbling backward. He comes to a stop among the other hunters while the head huntsman steps forward.
2,8,0208,Beginnings (2),1,1,1,1,9,Usually fine — about 9+,
2,9,0209,The Guide,1,1,1,1,9,Usually fine — about 9+,"Sex & hookups — [Blankly.] Yeah. Should've known you'd hook up with your old pals. Once a Triple Threat, always a Triple Threat."
2,10,0210,A New Spiritual Age,1,1,1,1,9,Usually fine — about 9+,
2,11,0211,Night of a Thousand Stars,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Cut back to the booth where Bolin punches the floor, crackling the ground with an earth wave which throws the three remaining waterbenders against the ceiling."
2,12,0212,Harmonic Convergence,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Oh Mako, you know a wise man once told me that delivering bad news to a girlfriend was like ripping off a blood-sucking leech: you just have to do it fast and get it over with."
2,13,0213,Darkness Falls,1,1,1,1,9,Usually fine — about 9+,
2,14,0214,Light in the Dark,3,1,1,3,10,Preview first — about 10+,"Violence & injury — [Walking toward Bolin.] But, you will always hold the special place in the organ that pumps my blood. I will remember you fondly. [Places her right hand to her heart, while smiling.] My turtle duck."
3,1,0301,A Breath of Fresh Air,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Okay, [Punches his fists.] Bum-Ju and I had a little fight."
3,2,0302,Rebirth,1,1,1,1,9,Usually fine — about 9+,
3,3,0303,The Earth Queen,3,1,1,3,10,Preview first — about 10+,"Violence & injury — [Bowing.] Avatar Korra, Master Tenzin, it is a pleasure to welcome you and your party to the Upper Ring of Ba Sing Se. I'm Grand Secretariat Gun."
3,4,0304,In Harm's Way,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Good. You're here. Gun, tell them the news."
3,5,0305,The Metal Clan,2,1,1,2,9,Mild — okay from about 9+,"Affairs / cheating — [Sarcastically.] Hey, everyone. My little sister is an expert on world affairs now."
3,6,0306,Old Wounds,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Suyin breaks free with her knife and sends the cables back at Lin, and the cables slice her cheek, causing Lin to scream in pain."
3,7,0307,Original Airbenders,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — The only way to deal with new recruits is to [Punches a hand forward.] break them down so you can [Brings both hands up.] build them back up.
3,8,0308,The Terror Within,1,1,1,1,9,Usually fine — about 9+,
3,9,0309,The Stakeout,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — [Alarmed. Furrows her brows.] What! You let Korra go?! I thought we were on the same page about this, and then you go and stab me in the back?"
3,10,0310,Long Live the Queen,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Gun, escort them to the antechamber until the Avatar's arrival."
3,11,0311,The Ultimatum,1,1,1,1,9,Usually fine — about 9+,
3,12,0312,Enter the Void,3,1,1,3,10,Preview first — about 10+,"Violence & injury — With his remaining water supply, Tonraq bends an ice spear on his forearm, and attempts to stab Zaheer, who dodges his attack and manages to ensnare Tonraq in a small tornado."
3,13,0313,Venom of the Red Lotus,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Ghazan punches the floor, causing rocks to fall down. He melts the walls around him and directs it downward."
4,1,0401,After All These Years,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — [Calmly and dryly.] That's not blood. It's strawberry pie.
4,2,0402,Korra Alone,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Holding the bundle with her left hand, she takes up a knife laying on her right and puts it up against her hair."
4,3,0403,The Coronation,3,1,1,3,10,Preview first — about 10+,Affairs / cheating — So now you're taking an interest in world affairs.
4,4,0404,The Calling,1,1,1,1,9,Usually fine — about 9+,
4,5,0405,Enemy at the Gates,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — She turns just in time to catch a punch from a tank in the head, hard enough to make her fly backward a good distance."
4,6,0406,The Battle of Zaofu,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Dodging another fiery punch, she very rapidly bends a slab of earth between her and Korra, breaking the Avatar's attack and pushing her arm up, leaving her side unprotected."
4,7,0407,Reunion,3,1,1,3,10,Preview first — about 10+,Violence & injury — You know who else has incisors sharp as a knife? Zhu Li ...
4,8,0408,Remembrances,3,1,1,3,10,Preview first — about 10+,Sex & hookups — [Cut to the bored refugees in a circle laying down and sleeping with Bolin with his head on his hands and Varrick lying casually.
4,9,0409,Beyond the Wilds,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Mako is on her trail, though stops to release some fire punches at the incoming vines."
4,10,0410,Operation Beifong,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — The beam punches a smoldering hole into a rock face directly behind Bolin, Opal, Juicy, and Zhu Li."
4,11,0411,Kuvira's Gambit,1,4,1,4,13,Skip for under 13,Sex & hookups — [Side-shot as they walk up to the threesome.] The four of us have been talking and ... we wanna take out Kuvira's spirit weapon before it gets too close to the city.
4,12,0412,Day of the Colossus,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — This is my hometown and I hate to say it, but there's no use risking all our lives to fight that giant thing! Let her take the city for now! We'll think of some way to come back and beat her!"
4,13,0413,The Last Stand,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Staggering momentarily backward, Korra throws a blast of fire with a punch and dodges several metalbending attacks from Kuvira; they fly past her as Kuvira rotates into the frame."
