season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Pilot,3,2,3,3,10,Preview first — about 10+,"Nudity & bodies — If Hayley never wakes up on a beach in Florida, half-naked I've done my job."
1,2,0102,2. The Bicycle Thief,2,1,1,2,9,Mild — okay from about 9+,Violence & injury — No slapping your own butt.
1,3,0103,3. Come Fly With Me,1,1,1,1,9,Usually fine — about 9+,"Sex & hookups — Did you do it to look sexy? No, did you do it for a guy? Does grandpa like it? No, no, and yes."
1,4,0104,4. The Incident,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — My mom started drinking these cocktails Called ""horny colombians"" With some of gloria's uncles, Whom, apparently, the drink was named after."
1,5,0105,5. Coal Digger,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — As far as I'm concerned, mum and dad had sex two times."
1,6,0106,6. Run for Your Wife,2,1,1,2,9,Mild — okay from about 9+,Sex & hookups — The poncho plus the flute plus the stupid dance -- My son will die a virgin.
1,7,0107,7. En Garde,3,1,2,3,10,Preview first — about 10+,"Nudity & bodies — All right, let's talk about why you got your panties in a bunch."
1,8,0108,8. Great Expectations,1,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — Um, how much are you gonna pay me to go make out with the waitress? All right."
1,9,0109,9. Fizbo,1,1,2,2,9,Mild — okay from about 9+,Sex & hookups — He's- He's the least sexual being on earth.
1,10,0110,Undeck the Halls,2,1,3,3,10,Preview first — about 10+,Violence & injury — We remember the year Santa punched out the caroler.
1,11,0111,Up All Night,3,1,3,3,10,Preview first — about 10+,"Sex & hookups — Into that sexy, clingy- Oh, my God."
1,12,0112,Not in My House,1,4,2,4,13,Skip for under 13,"Sex & hookups — If we don't handle it right, Luke might end up having an unhealthy attitude about sex or agribusiness."
1,13,0113,Fifteen Percent,2,2,2,2,9,Mild — okay from about 9+,"Nudity & bodies — Just- Like, the lipstick, the hair, push-up bra."
1,14,0114,Moon Landing,1,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — The next time you picture me, leave the underwear out of it."
1,15,0115,My Funky Valentine,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — In Oregon, the state legislature ratified a, uh, bill that from now on it is a crime to have sex in Oregon with a farm animal."
1,16,0116,Fears,1,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — And then suddenly you come in with all of your Asian-ness and-and-and breasts and womb, lady bits- and it all just comes rushing back to her, and I- You guys are overreacting."
1,17,0117,Truth Be Told,3,2,3,3,10,Preview first — about 10+,"Sex & hookups — Oh, this is because of the thing I said about Facebook and everybody's hooking up, and now you're disappointed."
1,18,0118,Starry Night,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Shotgun, sucka! - [Jay Laughing.]"
