season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Pilot,3,2,4,4,13,Skip for under 13,Porn / strippers / sex work — [INHALES SHARPLY] Prostitution.
1,2,0102,The Lucky Compass,3,1,5,5,16,Heavy — skip for under 16,Affairs / cheating — She cheated on him.
1,3,0103,The Forbidden Zone,3,1,4,4,13,Skip for under 13,Sex & hookups — to its virgin glory.
1,4,0104,Spy Games,3,1,4,4,13,Skip for under 13,Nudity & bodies — boy in underwear before.
1,5,0105,Midsummers,3,1,5,5,16,Heavy — skip for under 16,Violence & injury — [SIGHS] hour of my public murder
1,6,0106,Parcel 9,3,1,4,4,13,Skip for under 13,Nudity & bodies — have nipples for eyes
1,7,0107,Dead Calm,3,2,5,5,16,Heavy — skip for under 16,Sex & hookups — just wanted to hook up
1,8,0108,The Runway,3,1,4,4,13,Skip for under 13,Violence & injury — He told me you stabbed him.
1,9,0109,The Bell Tower,3,1,5,5,16,Heavy — skip for under 16,Violence & injury — Who shot her?
1,10,0110,The Phantom,3,1,5,5,16,Heavy — skip for under 16,Violence & injury — me and stabbed me in my arm.
2,1,0201,The Gold,3,2,4,4,13,Skip for under 13,Sex & hookups — Do you wanna hook up?
2,2,0202,The Heist,3,2,4,4,13,Skip for under 13,Sex & hookups — How did you hook up with Captain T?
2,3,0203,Prayers,3,1,4,4,13,Skip for under 13,Violence & injury — about a murder on Kildare Island?
2,4,0204,Homecoming,3,1,3,3,13,Preview first — about 13+,Violence & injury — Of course she would. Rafe just shot her!
2,5,0205,The Darkest Hour,3,2,4,4,13,Skip for under 13,Sex & hookups — that I'm gonna sleep with
2,6,0206,My Druthers,3,1,4,4,13,Skip for under 13,Violence & injury — Murder? Rafe? You've
2,7,0207,The Bonfire,3,1,4,4,13,Skip for under 13,Violence & injury — I murdered Sheriff Peterkin.
2,8,0208,The Cross,2,1,4,4,13,Skip for under 13,Violence & injury — It's just a corpse.
2,9,0209,Trapped,3,2,4,4,13,Skip for under 13,"Sex & hookups — Sir, that's, um natural Viagra."
2,10,0210,The Coastal Venture,3,1,4,4,13,Skip for under 13,"Nudity & bodies — With a coconut bra, smoking a J"
3,1,0301,Poguelandia,3,1,3,3,13,Preview first — about 13+,Affairs / cheating — by El Michels Affair plays]
3,2,0302,The Bells,3,1,4,4,13,Skip for under 13,Violence & injury — Guns a-blazing!
3,3,0303,Fathers and Sons,3,2,4,4,13,Skip for under 13,"Nudity & bodies — ""Gringo Che"" by The Nude Party plays"
3,4,0304,The Diary,3,1,4,4,13,Skip for under 13,Violence & injury — I think I was up for murder one
3,5,0305,Heists,3,1,4,4,13,Skip for under 13,"Nudity & bodies — ""Time Moves On"" by The Nude Party plays"
3,6,0306,The Dark Forest,3,1,4,4,13,Skip for under 13,Violence & injury — the pistol from in there?
3,7,0307,Happy Anniversary,3,2,4,4,13,Skip for under 13,Sex & hookups — I kind of hooked up with Topper.
3,8,0308,Tapping the Rudder,3,1,3,3,13,Preview first — about 13+,Violence & injury — You murdered my friend.
3,9,0309,Welcome to Kitty Hawk,3,1,3,3,13,Preview first — about 13+,Violence & injury — talking about your blood.
3,10,0310,Secret of the Gnomon,3,1,4,4,13,Skip for under 13,Sex & hookups — I still can't make out those glyphs.
4,1,0401,The Enduro,3,2,3,3,13,Preview first — about 13+,"Sex & hookups — ""Slow Learner"" by Viagra Boys playing"
4,2,0402,Blackbeard,3,1,4,4,13,Skip for under 13,"Violence & injury — Right before she was murdered,"
4,3,0403,The Lupine Corsairs,3,2,3,3,13,Preview first — about 13+,"Sex & hookups — Listen, just 'cause we hook up"
4,4,0404,The Swell,3,1,4,4,13,Skip for under 13,Violence & injury — Put the gun down.
4,5,0405,Albatross,3,1,4,4,13,Skip for under 13,Violence & injury — Shoupe thinks Genrette was murdered
4,6,0406,The Town Council,3,1,4,4,13,Skip for under 13,"Violence & injury — But by blood,"
4,7,0407,Mothers and Fathers,3,1,3,3,13,Preview first — about 13+,Violence & injury — [guns firing]
4,8,0408,Family Plot,3,1,3,3,13,Preview first — about 13+,Violence & injury — for the night of Wes Genrette's murder.
4,9,0409,The Storm,3,1,4,4,13,Skip for under 13,Violence & injury — and the murder weapon
4,10,0410,The Blue Crown,3,1,4,4,13,Skip for under 13,Violence & injury — Blood for blood.
