season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,A Lying Witch and a Warden,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Luz stabs the spork into her torso before tearing her dress, making several links of sausages fall out."
1,2,0102,Witches Before Wizards,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Eda sits on the kitchen table and drinks from her mug. King is sitting in a high chair and stabbing a fork into a yellow blob with eyes sitting on a plate.
1,3,0103,I Was a Teenage Abomination,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — She gestures to the corpse of a trash slug that towers over them. It's surrounded by trash and muck. Flies audibly buzz around the corpse.
1,4,0104,The Intruder,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Young Blood, Old Souls"""
1,5,0105,Covention,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Well, I have a student. And I bet she could wipe the floor with any of your prissy little blue bloods."
1,6,0106,Hooty's Moving Hassle,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Young Blood, Old Souls"""
1,7,0107,Lost in Language,1,1,1,1,8,Usually fine — about 8+,"Violence & injury — [Grabs the last book as Luz walks to the desk.] Coffee, grass and bloodstains? These are Eda's, aren't they?"
1,8,0108,Once Upon a Swap,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Young Blood, Old Souls"""
1,9,0109,"Something Ventured, Someone Framed",2,1,1,2,8,Mild — okay from about 8+,Violence & injury — You don't understand. The members were going mad. They were bloodthirsty. They were touching objects. I had no choice!
1,10,0110,Escape of the Palisman,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Cut to a sign above a bench that reads ""ALL BLOODTHIRSTY MONSTERS MUST BE LEASHED""."
1,11,0111,Sense and Insensitivity,3,1,1,3,10,Preview first — about 10+,"Violence & injury — King holds up paper that says ""BLOOD :)""."
1,12,0112,Adventures in the Elements,1,1,1,1,8,Usually fine — about 8+,"Violence & injury — ""Young Blood, Old Souls"""
1,13,0113,The First Day,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Young Blood, Old Souls"""
1,14,0114,Really Small Problems,1,1,1,1,8,Usually fine — about 8+,"Violence & injury — Ooh! That's way safer than becoming blood brothers! Luz, we must have those bracelets!"
1,15,0115,Understanding Willow,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Okay buddy, okay. [Gives Gus apple blood.] So, Willow—whoa. Are you okay?"
1,16,0116,Enchanting Grom Fright,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — I know, I know. Imagine everyone in their underwear."
1,17,0117,Wing It Like Witches,1,1,1,1,8,Usually fine — about 8+,Violence & injury — [Sighs.] I'm really sorry I pulled you guys into this. We should have just kept a low profile. Boscha could get away with murder if she wanted to.
1,18,0118,Agony of a Witch,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — A beating green heart, far larger than would belong in any current living creature, is hooked up to pipes above the golden throne, which is flanked with flaming braziers."
1,19,0119,"Young Blood, Old Souls",2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — This is a transcribed copy of Young Blood, Old Souls."
2,1,0201,Separate Tides,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Check it, Luz! A new hunting weapon. I will call her the Stab-Catcher."
2,2,0202,Escaping Expulsion,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Odalia switches modes on the gun and turns it into a flamethrower. Crowd cheers and applauds. Luz wipes her face clean and gasps. Scene cuts back to Blight Manor's living room. Amity walks in, removing her cowl."
2,3,0203,Echoes of the Past,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Well, uh... wanna head back? This is all so cool, but Eda's probably on her third cup of apple blood by now, and the last time, it was real hard getting her off the roof."
2,4,0204,Keeping Up A-fear-ances,2,1,1,2,8,Mild — okay from about 8+,"Sex & hookups — At the kitchen, Luz sleeps with her head atop a pile of books while snoring."
2,5,0205,Through the Looking Glass Ruins,1,1,1,1,8,Usually fine — about 8+,"Violence & injury — I know here that probably means unholy, blood-sucking snake monster, but in the Human Realm, that's just a kid name for nerds."
2,6,0206,Hunting Palismen,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Young Blood, Old Souls"""
2,7,0207,Eda's Requiem,1,1,1,1,8,Usually fine — about 8+,Violence & injury — Eda merely drinks the box of apple blood she has and turns her eyes over to the scene being caused in the pub.
2,8,0208,"Knock, Knock, Knockin' on Hooty's Door",1,1,1,1,8,Usually fine — about 8+,Violence & injury — I'm gonna need a blood sample.
2,9,0209,Eclipse Lake,3,1,1,3,10,Preview first — about 10+,Violence & injury — Titan's Blood.
