season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,I Accidentally Vaporize My Pre-Algebra Teacher,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — a half-blood.
1,2,0102,I Become Supreme Lord of the Bathroom,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — You are a half-blood,"
1,3,0103,We Visit the Garden Gnome Emporium,1,1,1,1,8,Usually fine — about 8+,
1,4,0104,I Plunge to My Death,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Gotta beat up on Clarisse
1,5,0105,A God Buys Us Cheeseburgers,1,1,1,1,8,Usually fine — about 8+,
1,6,0106,We Take a Zebra to Vegas,1,1,1,1,8,Usually fine — about 8+,"Violence & injury — Okay, show me Camp Half-Blood."
1,7,0107,"We Find Out the Truth, Sort Of",1,1,1,1,8,Usually fine — about 8+,Violence & injury — and murderer of travelers.
1,8,0108,The Prophecy Comes True,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — to be a half-blood.
2,1,0201,I Play Dodgeball with Cannibals,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — You are a half-blood,"
2,2,0202,Demon Pigeons Attack,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — told Bronte to beat him up.
2,3,0203,We Board the Princess Andromeda,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — it was like seeing my brother stab
2,4,0204,Clarisse Blows Up Everything,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — for Camp Half-Blood.
2,5,0205,We Check In to C.C.'s Spa & Resort,1,1,1,1,8,Usually fine — about 8+,Violence & injury — report at Camp Half-Blood.
2,6,0206,Nobody Gets the Fleece,1,1,1,1,8,Usually fine — about 8+,Violence & injury — you can't beat him!
2,7,0207,I Go Down with the Ship,1,1,2,2,8,Mild — okay from about 8+,"Violence & injury — ""A half-blood of the eldest gods"
2,8,0208,The Fleece Works Its Magic Too Well,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — The blood, the brutality."
