season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Rollercoaster,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Doofenshmirtz: “…at his foot.) Oowwww! Ow, ow, ow, owwww! (He jumps around and accidentally releases Agent P, who quickly punches him.”"
1,10,0110,The Magnificent Few,1,1,1,1,6,Usually fine — about 6+,
1,11,0111,S'Winter,1,1,1,1,6,Usually fine — about 6+,
1,12,0112,Jerk De Soleil,1,1,1,1,6,Usually fine — about 6+,
1,13,0113,Are You My Mummy?,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Major Monogram: “It appears that he's purchased a string of odd items: One pound of blood sausage- Ech, that's my grocery list.”"
1,14,0114,Ready for the Bettys,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Phineas: “(overlapping) By the way, I love that giant ray gun counting down to zero. OK, seriously, when did you make all this?”"
1,15,0115,"I Scream, You Scream",1,1,1,1,6,Usually fine — about 6+,
1,16,0116,Toy to the World,1,1,1,1,6,Usually fine — about 6+,
1,18,0118,"It's a Mud, Mud, Mud, Mud World",1,1,1,1,6,Usually fine — about 6+,
1,19,0119,Mom's Birthday,1,1,1,1,6,Usually fine — about 6+,
1,2,0102,Lawn Gnome Beach Party of Terror,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Doofenshmirtz: “(The lawn gnome punches Doof in the face) Wait, who are you?”"
1,20,0120,Journey to the Center of Candace,1,1,1,1,6,Usually fine — about 6+,"Sex & hookups — Phineas: “(another claw grabs another tendril, now the screen displays her eyes are hooked up.) Eyes...”"
1,21,0121,It's About Time!,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Frog ribbits, Dog barks, Cat screeches, Raccoon punches, Duck throws chair, Chicken clucking"
1,22,0122,"Dude, We're Getting the Band Back Together",2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — A hair comb flies in and stabs the poster to the wall; Song: ""Fabulous"""
1,23,0123,Tree to Get Ready,1,1,1,1,6,Usually fine — about 6+,
1,24,0124,The Ballad of Badbeard,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Phineas: “It sounds like somebody is strangling a cat! It must be Grandpa! Wakey wakey, eggs and bakey!”"
1,25,0125,Greece Lightning,1,1,1,1,6,Usually fine — about 6+,
1,26,0126,Leave the Busting to Us!,1,1,1,1,6,Usually fine — about 6+,Swearing — Doofenshmirtz: “Perry the Platypus? (Perry shoots a rabbit out of the top hat) Bobo the rabbit! Do you know that I've been looking for you since the seventh grade? (top hat cocks as Perry starts shooting more rabbits) Aah!”
1,27,0127,Crack That Whip,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Betty Jo: “(Young Hildegard punches Betty Jo, and crosses the finish line first)”"
1,28,0128,The Best Lazy Day Ever,1,1,1,1,6,Usually fine — about 6+,
1,29,0129,"Boyfriend From 27,000 B.C.",1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Boy dressed as a robot: “Jeremy, dude! Sweet costume, bro! (Conk punches him) Okay, you're not my bro!”"
