season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,I Choose You!,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — (opens bag of stuff for Ash and handing it to him) I've packed your sneakers and jeans, nice clean shirts and some underwear, and your favourite snacks, hot chocolate in case you want something hot."
1,2,0102,Pokémon Emergency!,1,1,1,1,6,Usually fine — about 6+,Nudity & bodies — And are you changing your underwear every day?
1,3,0103,Ash Catches a Pokémon,1,1,1,1,6,Usually fine — about 6+,
1,4,0104,Challenge of the Samurai,1,1,1,1,6,Usually fine — about 6+,
1,5,0105,Showdown in Pewter City,1,1,1,1,6,Usually fine — about 6+,Sex & hookups — I have another idea. Pikachu is all hooked up.
1,6,0106,Clefairy and the Moon Stone,1,1,1,1,6,Usually fine — about 6+,
1,7,0107,The Water Flowers of Cerulean City,1,1,1,1,6,Usually fine — about 6+,
1,8,0108,The Path to the Pokémon League,1,1,1,1,6,Usually fine — about 6+,Violence & injury — Look at that! This Gym isn't even licensed by the Pokémon League. Undefeated? Big deal! I can beat him.
1,9,0109,The School of Hard Knocks,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Giselle always practices here by herself. Even if you beat her in a fight, it won't matter to her. At the Tech, it's your skill as a Pokémon trainer... that counts more than winning in any one battle."
1,10,0110,Bulbasaur and the Hidden Village,1,1,1,1,6,Usually fine — about 6+,
1,11,0111,The Stray Pokémon,1,1,1,1,6,Usually fine — about 6+,Violence & injury — Charmander beat them?
1,12,0112,Here Comes the Squirtle Squad,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — These are ice packs we're gunning, I mean ice guns we're packing!"
1,13,0113,Mystery at the Lighthouse,1,1,1,1,6,Usually fine — about 6+,
1,14,0114,Electric Shock Showdown,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — I enjoy playing with toys, but playtime's over. Raichu, mega punch!"
1,15,0115,Battle Aboard the St. Anne,1,1,1,1,6,Usually fine — about 6+,
1,16,0116,Pokémon Shipwreck,1,1,1,1,6,Usually fine — about 6+,
1,17,0117,Island of the Giant Pokémon,1,1,1,1,6,Usually fine — about 6+,
1,18,0118,Beauty and the Beach,1,1,1,1,6,Usually fine — about 6+,Alcohol & drugs — Champagne wishes and catnip dreams. Here we come.
1,19,0119,Tentacool & Tentacruel,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — I'm sorry, Horsea. You got beaten up, and you did it all for us humans. Thank you."
1,20,0120,The Ghost of Maiden's Peak,1,1,1,1,6,Usually fine — about 6+,"Alcohol & drugs — Ah, it wouldn't matter to me if I never saw land again. I just wasted another summer."
1,21,0121,Bye Bye Butterfree,2,1,1,2,8,Mild — okay from about 8+,Affairs / cheating — Don't butt into Pokémon love affairs.
1,22,0122,Abra and the Psychic Showdown,1,1,1,1,6,Usually fine — about 6+,Violence & injury — Please. I need your help. I've got to defeat Sabrina for the Marsh Badge. I have to. You've got to help me beat her. Please show me how. Ugh.
1,23,0123,The Tower of Terror,1,1,1,1,6,Usually fine — about 6+,
1,24,0124,Haunter Versus Kadabra,1,1,1,1,6,Usually fine — about 6+,Violence & injury — Another battle? Even after my Kadabra beat up your Pikachu during the last match? You don't have a choice.
1,25,0125,Primeape Goes Bananas,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Mankey, a pig-monkey Pokémon of the fighting type. Known for its superior footwork, it packs a powerful punch."
1,26,0126,Pokémon Scent-sation!,1,1,1,1,6,Usually fine — about 6+,
1,27,0127,Hypno's Naptime,1,1,1,1,6,Usually fine — about 6+,
1,28,0128,Pokémon Fashion Flash,1,1,1,1,6,Usually fine — about 6+,
1,29,0129,The Punchy Pokémon,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Hitmonchan, a skilled fighting Pokémon that packs an incredibly fast punch."
1,30,0130,Sparks Fly for Magnemite,1,1,1,1,6,Usually fine — about 6+,
1,31,0131,Dig Those Diglett!,1,1,1,1,6,Usually fine — about 6+,
1,32,0132,The Ninja Poké-Showdown,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Golbat. Attacking with its sharp fangs, this Pokémon can drain 300 cubic centimeters of blood per bite."
1,33,0133,The Flame Pokémon-athon!,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — You can beat him, Ash."
1,34,0134,The Kangaskhan Kid,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Rocket punch.
1,36,0136,The Bridge Bike Gang,1,1,1,1,6,Usually fine — about 6+,
1,37,0137,Ditto's Mysterious Mansion,1,1,1,1,6,Usually fine — about 6+,
