season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,The Power,3,1,2,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,2,0102,Just Set Up The Chairs,2,1,2,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,3,0103,Caffeinated Concert Tickets,2,1,2,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,4,0104,Death Punchies,3,1,1,3,10,Preview first — about 10+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,5,0105,Free Cake,2,1,2,2,8,Mild — okay from about 8+,Nudity & bodies — Muscle Man: “Whooooo! Skips is gonna be so surprised when he comes in and sees us totally naked.”
1,6,0106,Meat Your Maker,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,7,0107,Grilled Cheese Deluxe,1,1,1,1,8,Usually fine — about 8+,
1,8,0108,The Unicorns Have Got to Go,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — ""Fix That Tape"" • ""Skips' Luau"" • ""Blade Games"" • ""Nap Spot"" • ""Coffee Shop Wars"" • ""Boba or Bo-Bust"" • ""Corpse Flower"""
1,9,0109,Prank Callers,1,1,1,1,8,Usually fine — about 8+,
1,10,0110,Don,1,1,1,1,8,Usually fine — about 8+,"Nudity & bodies — “I get my hair cut like you, I try to look like you, and I don't wear clothes, just like you! Remember when you started walking around naked? I thought you were so cool.”"
1,11,0111,Rigby's Body,2,1,1,2,8,Mild — okay from about 8+,"Nudity & bodies — Skips' nipples glitter and thump. The bodybuilder looks nervous for a second, then throws his singlet towards Mordecai and runs off"
