season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,1. Pilot,3,4,2,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,2,0102,2. Lawnmower Dog,3,2,4,4,14,Skip for under 14,"Sex & hookups — “Oh, my God! Put some clothes on, for Pete's sake! This is disgusting! - I'm gonna puke! - I can't take it, Rick! Sexual hang-ups in the pleasure chamber are punishable by death!”"
1,3,0103,3. Anatomy Park,3,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,4,0104,4. M. Night Shaym-Aliens!,1,3,4,4,14,Skip for under 14,"Sex & hookups — “Man, how does a guy like that go home and have sex with his wife? Hey, Morty.”"
1,5,0105,5. Meeseeks and Destroy,3,4,3,4,14,Skip for under 14,Sex & hookups — “Countries known for their sexually aggressive men.”
1,6,0106,6. Rick Potion #9,2,4,3,4,14,Skip for under 14,Sex & hookups — “I had sex with Billy.”
1,7,0107,7. Raising Gazorpazorp,3,4,3,4,14,Skip for under 14,"Sex & hookups — “You could play guitar, you could masturbate I don't wanna masturbate, I wanna conquer the planet! Oh, here we go again! Who do you think is gonna love you if you conquer the planet Morty Jr.”"
1,8,0108,8. Rixty Minutes,2,3,3,3,14,Preview first — about 14+,Sex & hookups — “And now trunk men? We know science has created men that have a trunk that allows them to have sex with both male and female partners.”
1,9,0109,9. Something Ricked This Way Comes,3,4,4,4,14,Skip for under 14,"Sex & hookups — “This aftershave made women want me, but it also made me impotent! A price for everything, mr.”"
1,10,0110,Close Rick-Counters of the Rick Kind,3,1,4,4,14,Skip for under 14,"Violence & injury — “Yes, but it appears you alone have been going to the exact timelines and locations in which the murders occurred.”"
1,11,0111,Ricksy Business,1,1,4,4,14,Skip for under 14,"Swearing — “We'll be fine! Let's party! Just shake that ass, bitch, and let me see whatcha got I swear to God, Morty, if it weren't for the fact that everyone's still…”"
2,1,0201,1. A Rickle In Time,3,1,4,4,14,Skip for under 14,Violence & injury — “I mean it's been shot with a gun.”
2,2,0202,2. Mortynight Run,3,1,4,4,14,Skip for under 14,"Sex & hookups — “So, did you guys make out a little bit? Is he gonna send you a postcard? Man, that guy hit the lottery when he crossed paths with you.”"
2,3,0203,3. Auto Erotic Assimilation,2,4,4,4,14,Skip for under 14,"Sex & hookups — “Listen, if this is an invasion, I got to sit this one out, but I'll be back to have sex with the survivors.”"
2,4,0204,4. Total Rickall,3,1,4,4,14,Skip for under 14,"Violence & injury — “Why couldn't I bring my portal gun? Why did all the drinks have to be extra large? Oh, the hulk.”"
2,5,0205,5. Get Schwifty,3,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,6,0206,6. The Ricks Must Be Crazy,3,2,4,4,14,Skip for under 14,"Sex & hookups — “I masturbated to an extra-curvy piece of driftwood the other day! Look, I don't care what it takes.”"
2,7,0207,7. Big Trouble In Little Sanchez,3,3,4,4,14,Skip for under 14,Porn / strippers / sex work — “They could save the marriage of a porn star and a porn star.”
2,8,0208,8. Interdimensional Cable 2: Tempting Fate,3,5,4,5,16,Heavy — skip for under 16,"Sex & hookups — “Smith? Uh, yeah, just masturbating! I forgot to mention, there are extensive medical records open on my desktop, and I trust you to confine your activities - to the purely pornographic.”"
2,9,0209,9. Look Who's Purging Now,3,1,4,4,14,Skip for under 14,"Violence & injury — “Oh, I know what this is! You've been able to sustain world peace because you have one night a year where you all run around robbing and murdering each other without consequence.”"
2,10,0210,The Wedding Squanchers,3,2,3,3,14,Preview first — about 14+,Sex & hookups — “I'll have sex with that.”
3,1,0301,1. The Rickshank Redemption,3,1,3,3,14,Preview first — about 14+,"Violence & injury — “Yes, I'd like very much to visit the memory of you inventing your portal gun.”"
3,2,0302,2. Rickmancing the Stone,3,1,4,4,14,Skip for under 14,"Nudity & bodies — “Graze my genitals again, Taint Washer, and you'll be shipped to the wasteland.”"
3,3,0303,3. Pickle Rick,3,1,3,3,14,Preview first — about 14+,"Violence & injury — “You are the master of your universe, and yet you are dripping with rat blood and feces.”"
3,4,0304,4. Vindicators 3: The Return of Worldender,3,4,4,4,14,Skip for under 14,"Sex & hookups — “Uh, Morty, you might want to freeze some sperm.”"
3,5,0305,5. The Whirly Dirly Conspiracy,3,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
3,6,0306,6. Rest and Ricklaxation,1,4,4,4,14,Skip for under 14,"Sex & hookups — “Uh, is this like a sex dungeon? I guess I should've been paying attention.”"
3,7,0307,7. The Ricklantis Mixup,3,3,4,4,14,Skip for under 14,Sex & hookups — “I-I wanna to go to school and throw balls around and masturbate.”
3,8,0308,8. Morty's Mind Blowers,3,1,4,4,14,Skip for under 14,"Sex & hookups — “The Floop Floopians achieve an eternal orgasmic afterlife, so long as they're killed by a great warrior.”"
3,9,0309,9. The ABCs of Beth,3,2,4,4,14,Skip for under 14,"Sex & hookups — “Dad, are you -- In love with a badass, sexy alien lady? Ha, ha, I don't know, Summer.”"
3,10,0310,The Rickchurian Mortydate,3,3,4,4,14,Skip for under 14,Sex & hookups — “Some kind of alien googa has infested the Kennedy Sex Tunnels.”
