season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Simpsons Roasting on an Open Fire,1,1,2,2,9,Mild — okay from about 9+,"Alcohol & drugs — Moe Szyslak: “What's the matter, Homer? Somebody leave a lumpa coal in your stocking? You've been sitting there sucking on a beer all day long.”"
1,2,0102,Bart the Genius,1,1,1,1,9,Usually fine — about 9+,"Affairs / cheating — Bart Simpson: “(SIGHS) ""My Confession"" by Bart Simpson. I am a regular dumb kid... period. I cheated on my intelligence test... period.”"
1,3,0103,Homer's Odyssey,2,1,2,2,9,Mild — okay from about 9+,"Nudity & bodies — Homer Simpson: “Many of them, incompetent boobs.”"
1,4,0104,There's No Disgrace Like Home,3,1,1,3,10,Preview first — about 10+,"Nudity & bodies — Bart Simpson: “Hear that, Dad? You can lie around in your underwear and scratch yourself.”"
1,5,0105,Bart the General,3,2,1,3,10,Preview first — about 10+,Sex & hookups — Grampa Simpson: “Number two: Horny.”
1,6,0106,Moaning Lisa,2,1,1,2,9,Mild — okay from about 9+,"Nudity & bodies — Homer Simpson: “Oh, so that's it. This is some kind of underwear thing.”"
1,7,0107,The Call of the Simpsons,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — Homer Simpson: “(SADLY TO HIMSELF) What am I going to do? I've murdered us all.”
1,8,0108,The Telltale Head,3,1,2,3,10,Preview first — about 10+,Violence & injury — Bart Simpson: “Murderous mob. I beg you to spare our lives. At least until you've heard the story of how we ended up with the head of our beloved town founder.”
1,9,0109,Life on the Fast Lane,1,1,2,2,9,Mild — okay from about 9+,Alcohol & drugs — Jacques: “Which frame is the beer frame.”
1,10,0110,Homer's Night Out,2,2,2,2,9,Mild — okay from about 9+,"Sex & hookups — Martin Prince: “Who's the sexy lady, Bart?”"
1,11,0111,The Crepes of Wrath,2,1,1,2,9,Mild — okay from about 9+,"Violence & injury — Homer Simpson: “Please, please kids. Stop fighting. Maybe Lisa's right about America being a land of opportunity, and maybe Adil has a point about the machinery of capitalism being oiled with the blood of the workers.”"
1,12,0112,Krusty Gets Busted,3,1,1,3,10,Preview first — about 10+,"Affairs / cheating — Sideshow Bob: “Bart, (TO AUDIENCE) children, this whole sordid affair has been a shock to all of us, but we must get on with our lives.”"
1,13,0113,Some Enchanted Evening,1,1,2,2,9,Mild — okay from about 9+,Alcohol & drugs — Barney Gumble: “(DRUNKENLY) You're no more of a pig than I am. (BURP)”
2,1,0201,"Bart Gets an ""F""",3,1,2,3,10,Preview first — about 10+,"Violence & injury — Bart Simpson: “Sharp, stabbing pains... in my stomach.”"
2,2,0202,Simpson and Delilah,1,1,2,2,9,Mild — okay from about 9+,
2,3,0203,Treehouse of Horror,3,1,1,3,10,Preview first — about 10+,"Violence & injury — House: “(SING-SONGY) Liiii-saaa! Liii-saaa! The butcher knife, Lisa.”"
2,4,0204,Two Cars in Every Garage and Three Eyes on Every Fish,2,1,2,2,9,Mild — okay from about 9+,Violence & injury — Grampa Simpson: “That Burns is just what this state needs... young blood.”
