season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
0,47,0047,47. Joining the Panderverse,1,1,5,5,16,Heavy — skip for under 16,Swearing — explosive fucking diarrhea all night
0,48,0048,48. Not Suitable for Children,2,4,5,5,16,Heavy — skip for under 16,Sex & hookups — of my sexuality on a platform
0,49,0049,49. The End of Obesity,3,1,5,5,16,Heavy — skip for under 16,"Violence & injury — Stan, take Daddy's gun"
1,1,0101,1. Cartman Gets an Anal Probe,1,2,4,4,14,Skip for under 14,"Sex & hookups — “No, Kitty, this is my potpie! Mom! Kitty's being a dildo! Then I know a certain kitty-kitty who's sleeping with Mommy tonight.”"
1,2,0102,2. Weight Gain 4000,3,1,4,4,14,Skip for under 14,"Sex & hookups — “Kathie Lee is a beautiful, sultry queen of sexual fantasy.”"
1,3,0103,3. Volcano,3,1,2,3,14,Preview first — about 14+,Violence & injury — “Don't ever walk with your gun unless the safety's on.”
1,4,0104,4. Big Gay Al's Big Gay Boat Ride,2,1,2,2,14,Mild — okay from about 14+,"Violence & injury — “Evil down to their black hearts, which pump not blood but a vomitous oil that oozes through their veins clots in their brains, which causes their Nazi-esque violent behavior.”"
1,5,0105,5. An Elephant Makes Love to a Pig,3,3,4,4,14,Skip for under 14,"Sex & hookups — “Lf a girl tried to kick my ass, I'd be: ""Why don't you stop dressing me like a mailman and making me dance for you while you smoke crack in your bedroom and have sex with some guy I don't even know on my dad's bed.”"
1,6,0106,6. Death,3,1,4,4,14,Skip for under 14,"Porn / strippers / sex work — “Why don't we go watch those porno movie thingies? - What are you doing, Grandpa? - I'm going to Africa.”"
1,7,0107,7. Pinkeye,1,1,4,4,14,Skip for under 14,"Swearing — “You owe me a Sweetie Pop, asshole.”"
1,8,0108,8. Starvin' Marvin,2,1,4,4,14,Skip for under 14,"Violence & injury — “No punches below the belt, holding or miracles.”"
1,9,0109,"9. Mr. Hankey, the Christmas Poo",1,1,2,2,14,Mild — okay from about 14+,Alcohol & drugs — “Look at the way they foam at the mouth like beautiful suds of beer.”
1,10,0110,10. Damien,1,1,4,4,14,Skip for under 14,Swearing — “Super-bitch is at it again.”
1,11,0111,11. Tom's Rhinoplasty,2,1,3,3,14,Preview first — about 14+,"Sex & hookups — “Hat, being hot and sexy is fun for a while, but it does get boring.”"
1,12,0112,12. Mecha-Streisand,2,1,4,4,14,Skip for under 14,"Violence & injury — “Robert Smith, hit her nose! Use robot punch.”"
1,13,0113,13. Cartman's Mom is a Dirty Slut,3,2,4,4,14,Skip for under 14,"Sex & hookups — “I might have made love to your mother at the dance, but who here didn't? Now come on, honestly, who here has never had sex with Mrs.”"
2,1,0201,"1. Terrance & Phillip in ""Not Without My Anus""",3,2,4,4,14,Skip for under 14,"Sex & hookups — “If they can't see how horribly disfigured you are, they'll want to sleep with you.”"
2,2,0202,2. Cartman's Mom is Still a Dirty Slut,3,4,5,5,16,Heavy — skip for under 16,"Sex & hookups — “No, don't! Set an open course for the virgin sea.”"
2,3,0203,3. Chickenlover,2,3,5,5,16,Heavy — skip for under 16,"Sex & hookups — “Who'd have sex with a chicken? Uh boys you move along, this isn't for young eyes to see.”"
2,4,0204,4. Ike's Wee Wee,2,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,5,0205,5. Conjoined Fetus Lady,1,1,4,4,14,Skip for under 14,Nudity & bodies — “Yeah good thing they have those big eyes so they don't have to rely on that amazing American intellect Pray bra! Holy crap.”
2,6,0206,6. The Mexican Staring Frog of Southern Sri Lanka,3,2,4,4,14,Skip for under 14,"Porn / strippers / sex work — “I'll just take him home and show him some good hard core porn, he'll snap right out of it, won't you Ned? I want to appologize to all of you for what happened in there.”"
2,7,0207,7. City on the Edge of Forever (a.k.a. Flashbacks),3,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
2,8,0208,8. Summer Sucks,1,1,4,4,14,Skip for under 14,Sex & hookups — “Hat was gay? Sometimes he fanatsizes about same sexualations.”
2,9,0209,9. Chef's Chocolate Salty Balls,3,1,4,4,14,Skip for under 14,Sex & hookups — “And is a sexual exploration piece about 2 women in love.”
2,10,0210,10. Chickenpox,1,3,4,4,14,Skip for under 14,Sex & hookups — “I don't think it's very healthy to sleep with rats.”
2,11,0211,11. Roger Ebert Should Lay Off the Fatty Foods,1,1,4,4,14,Skip for under 14,"Swearing — “Kenny, can you give us another example? When I get blowjobs that I cum through discharging that's the way to fuck.”"
2,12,0212,12. Clubhouses,1,1,5,5,16,Heavy — skip for under 16,Swearing — “That's not it you idiot! - Hey back off cunt! - You just said the C-word! - Did I? This is a sweet spot for a clubhouse.”
2,13,0213,13. Cow Days,3,4,4,4,14,Skip for under 14,Sex & hookups — “Cool! Hora hora plee sojuboy! Hora sojuboy me so horny.”
2,14,0214,14. Chef Aid,1,2,4,4,14,Skip for under 14,Sex & hookups — “How would you like to use some sex toys Sex toys Like what Like this very special device.”
2,15,0215,15. Spooky Fish,3,2,4,4,14,Skip for under 14,Sex & hookups — “C'mon Shelly let's hook up your home theater.”
2,16,0216,16. Merry Christmas Charlie Manson!,3,1,4,4,14,Skip for under 14,"Violence & injury — “Mass murderer and extremely nasty person, Charles Manson has escaped from prison.”"
2,17,0217,17. Gnomes (a.k.a. Underpants Gnomes),2,1,4,4,14,Skip for under 14,Violence & injury — “Soon they'll want my blood.”
2,18,0218,18. Prehistoric Ice Man,3,4,4,4,14,Skip for under 14,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
3,1,0301,1. Rainforest Schmainforest,1,3,5,5,16,Heavy — skip for under 16,"Sex & hookups — “We're ready to head to the Latin American nation of Costa Rica, a country filled with virgin rainforests.”"
3,2,0302,2. Spontaneous Combustion,1,1,4,4,14,Skip for under 14,"Swearing — “Really? Yeah! So hurry up and die you piece of crap! When I get my super powers, I'm gonna use them to smote you two assholes right off the planet! Super powers is sweet.”"
