season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Help Wanted,1,1,1,1,6,Usually fine — about 6+,"Nudity & bodies — SpongeBob: “[jumps up, and leaves his underwear behind] ..naked!”"
1,2,0102,Reef Blower,1,1,1,1,6,Usually fine — about 6+,
1,3,0103,Tea at the Treedome,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — He jumps into its mouth and tries to strangle its tongue, but discovers that Sandy is holding the clam's mouth apart."
1,4,0104,Bubblestand,1,1,1,1,6,Usually fine — about 6+,
1,5,0105,Ripped Pants,1,1,1,1,6,Usually fine — about 6+,
1,6,0106,Jellyfishing,1,1,1,1,6,Usually fine — about 6+,
1,7,0107,Plankton!,1,1,1,1,6,Usually fine — about 6+,"Alcohol & drugs — Karen Plankton: “Seaweed: 50% Sea, 50% Weed. [a picture of the seaweed appears on the screen]”"
1,8,0108,Naughty Nautical Neighbors,1,1,1,1,6,Usually fine — about 6+,
1,9,0109,Boating School,1,1,1,1,6,Usually fine — about 6+,
1,10,0110,Pizza Delivery,1,1,1,1,6,Usually fine — about 6+,
1,11,0111,Home Sweet Pineapple,1,1,1,1,6,Usually fine — about 6+,
1,12,0112,Mermaid Man and Barnacle Boy,2,2,1,2,8,Mild — okay from about 8+,"Sex & hookups — SpongeBob: “[approaches Mermaid Man, who is sleeping with his eyes open] Ever alert, Mermaid Man has trained himself to sleep with his eyes open.”"
1,13,0113,Pickles,1,1,1,1,6,Usually fine — about 6+,Sex & hookups — SpongeBob: “[tries sleeping with a mattress over his head] Negative.”
1,14,0114,Hall Monitor,1,1,1,1,6,Usually fine — about 6+,
1,15,0115,Jellyfish Jam,1,1,1,1,6,Usually fine — about 6+,
1,16,0116,Sandy's Rocket,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Bubble transitions to Sandy pumping a gun and SpongeBob comes to watch her.
1,17,0117,Squeaky Boots,1,1,1,1,6,Usually fine — about 6+,"Sex & hookups — As SpongeBob is sleeping with his boots on, Mr."
1,18,0118,Nature Pants,1,1,1,1,6,Usually fine — about 6+,
1,19,0119,Opposite Day,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Squidward: “Drum? What drum? [puts the drum on the ground, punches a hole in it, and pulls out a wig] This is just my wig case! See? [puts on the wig, kicks the drum out of the way and frolics around] Come on, SpongeBob, tackle me!”"
1,20,0120,Culture Shock,1,1,1,1,6,Usually fine — about 6+,
1,21,0121,F.u.n.,1,1,1,1,6,Usually fine — about 6+,
1,22,0122,MuscleBob BuffPants,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Sandy: “Ding ding! [punches SpongeBob out of the ring. Later, Sandy starts up her exercise wheel with SpongeBob on it. SpongeBob pants while the wheel goes faster and makes him trip all over the wheel] Feeling the burn?”"
1,23,0123,Squidward the Unfriendly Ghost,1,1,1,1,6,Usually fine — about 6+,
1,24,0124,The Chaperone,2,1,1,2,8,Mild — okay from about 8+,Violence & injury — Pearl: “[SpongeBob has a big list now] ...I want to drink punch with my friends and don't do that other thing you're always doing...”
1,25,0125,Employee of the Month,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — SpongeBob: “Squidward manages to climb out of the hole, he also grunts from exhaustion; SpongeBob wakes up with bloodshot eyes to hear some hammering] Squidward!”"
1,26,0126,Scaredy Pants,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Patrick: “Oh, boy, that was something. Your costume really packs a punch.”"
1,27,0127,I Was a Teenage Gary,1,1,1,1,6,Usually fine — about 6+,
1,28,0128,Sb-129,1,1,1,1,6,Usually fine — about 6+,
1,29,0129,Karate Choppers,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — While she is doing this, SpongeBob takes out his tongue revealing a label that says ""Novelty Toy"" and he wraps the fake tongue she was holding around her, strangles her body, and spins her into a tornado."
1,30,0130,Sleepy Time,2,1,1,2,8,Mild — okay from about 8+,"Violence & injury — Mr. Krabs: “[ties SpongeBob up with a rope tied to a plunger sticking out of a gun] You're fired! [Fires the gun, shooting the plunger and tossing SpongeBob with it]”"
1,31,0131,Suds,1,1,1,1,6,Usually fine — about 6+,
1,32,0132,Valentine's Day,1,1,1,1,6,Usually fine — about 6+,
1,33,0133,The Paper,1,1,1,1,6,Usually fine — about 6+,Nudity & bodies — SpongeBob: “Now I'm... [jumps into the air out of his pants. He is now naked with a paper for a loincloth] SpongeBob JunglePants! [does Tarzan impression]”
1,34,0134,Arrgh!,1,1,1,1,6,Usually fine — about 6+,
1,35,0135,Rock Bottom,1,1,1,1,6,Usually fine — about 6+,"Violence & injury — Patrick: “[has bloodshot eyes, starts to sweat] I still can't read the sign! [shaking in fear] I wanna go home!”"
1,36,0136,Texas,1,1,1,1,6,Usually fine — about 6+,Violence & injury — SpongeBob: “Incidental 32 growls like a dog and punches SpongeBob]”
1,37,0137,Walking Small,1,1,1,1,6,Usually fine — about 6+,
1,38,0138,Fools in April,1,1,1,1,6,Usually fine — about 6+,
1,39,0139,Neptune's Spatula,1,1,1,1,6,Usually fine — about 6+,
1,40,0140,Hooky,1,1,1,1,6,Usually fine — about 6+,Nudity & bodies — SpongeBob: “Krabs! [cries] I promise I'll be good! [his underwear tears off] Whew.”
1,41,0141,Mermaid Man and Barnacle Boy II,1,1,1,1,6,Usually fine — about 6+,Violence & injury — TV Announcer: “It cuts to a wide shot of the cut out of the Jumbo Shrimp.] and the dreaded Jumbo Shrimp! [Mermaid Man and Barnacle Boy punch it.”
2,1,0201,Something Smells,1,1,1,1,6,Usually fine — about 6+,
