season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,The Vanishing of Will Byers,3,1,4,4,13,Skip for under 13,Violence & injury — “[Mike] Something is coming. Something hungry for blood.”
1,2,0102,The Weirdo on Maple Street,3,2,4,4,13,Skip for under 13,"Sex & hookups — “Tommy and Carol have been having sex since, like, seventh grade.”"
1,3,0103,"Holly, Jolly",2,2,3,3,11,Preview first — about 11+,Sex & hookups — “[Tommy] I bet Mr. Mundy's still a virgin.”
1,4,0104,The Body,2,1,4,4,13,Skip for under 13,Violence & injury — “So? -My parents are gonna murder me!”
1,5,0105,The Flea and the Acrobat,3,1,4,4,13,Skip for under 13,Violence & injury — “[gun cocking] -Hands up. Hands up!”
1,6,0106,The Monster,3,2,4,4,13,Skip for under 13,Nudity & bodies — “And then they'd strip her naked and put her in these isolation tanks.”
1,7,0107,The Bathtub,2,1,4,4,13,Skip for under 13,Violence & injury — “You say blood draws this thing?”
1,8,0108,The Upside Down,3,1,4,4,13,Skip for under 13,Violence & injury — “Is that blood?”
2,1,0201,Madmax,2,2,4,4,13,Skip for under 13,Porn / strippers / sex work — “I'm not prostituting my sister!”
2,2,0202,"Trick or Treat, Freak",2,1,4,4,13,Skip for under 13,Violence & injury — toy gun firing
2,3,0203,The Pollywog,3,1,4,4,13,Skip for under 13,Violence & injury — “♪ He's a pool-shootin' son of a gun ♪”
2,4,0204,Will the Wise,1,1,4,4,13,Skip for under 13,Swearing — “I'm like that psychotic son of a bitch?”
2,5,0205,Dig Dug,3,1,4,4,13,Skip for under 13,Violence & injury — “[Joyce] Knife? -It's over there.”
2,6,0206,The Spy,1,1,4,4,13,Skip for under 13,"Sex & hookups — “No, no, no, no, no. Like a... Like a sexual electricity.”"
2,7,0207,The Lost Sister,3,1,3,3,11,Preview first — about 11+,"Violence & injury — “Come on, Axe. Put down the knife.”"
2,8,0208,The Mind Flayer,3,1,3,3,11,Preview first — about 11+,Violence & injury — “You can't just shoot this with guns.”
2,9,0209,The Gate,3,1,4,4,13,Skip for under 13,Violence & injury — “[Dustin] Murder the son of a bitch!”
3,1,0301,"Suzie, Do You Copy?",3,1,3,3,11,Preview first — about 11+,"Sex & hookups — “""Oh, El, I wish we could make out forever,”"
3,2,0302,The Mall Rats,1,1,4,4,13,Skip for under 13,"Swearing — “Oh, shit, shit.”"
3,3,0303,The Case of the Missing Lifeguard,3,1,4,4,13,Skip for under 13,Violence & injury — “something hungry for blood.”
3,4,0304,The Sauna Test,3,1,4,4,13,Skip for under 13,"Violence & injury — “But it's nice to know he's not a murderer, because that would've totally sucked.”"
3,5,0305,The Flayed,3,1,4,4,13,Skip for under 13,Violence & injury — “murdered many children. -What?”
3,6,0306,E Pluribus Unum,3,1,4,4,13,Skip for under 13,Violence & injury — guns cocking
3,7,0307,The Bite,3,2,4,4,13,Skip for under 13,Sex & hookups — “[in Russian] I told them they should have sex.”
3,8,0308,The Battle of Starcourt,3,1,4,4,13,Skip for under 13,Violence & injury — cocks assault rifle
4,1,0401,The Hellfire Club,3,3,4,4,13,Skip for under 13,Sex & hookups — “Do I wanna start another relationship that has no point other than sex?”
4,2,0402,Vecna's Curse,3,1,4,4,13,Skip for under 13,Violence & injury — “Hawkins student got murdered.”
4,3,0403,The Monster and the Superhero,3,1,3,3,11,Preview first — about 11+,Sex & hookups — “experiment sexually.”
4,4,0404,Dear Billy,3,1,4,4,13,Skip for under 13,Sex & hookups — “eating Enzo's with your sexy woman.”
4,5,0405,The Nina Project,3,1,4,4,13,Skip for under 13,Violence & injury — “Just get his gun and make him turn us around.”
4,6,0406,The Dive,3,1,4,4,13,Skip for under 13,Violence & injury — “These murders are ritualistic sacrifices. -[crowd gasping]”
4,7,0407,The Massacre at Hawkins Lab,3,1,4,4,13,Skip for under 13,Violence & injury — “Someone was just murdered there.”
4,8,0408,Papa,3,1,4,4,13,Skip for under 13,"Sex & hookups — “For me, she is still a virgin. [chuckles]”"
4,9,0409,The Piggyback,3,1,4,4,13,Skip for under 13,Violence & injury — “You know the murder house on Morehead?”
