season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Pilot,1,1,3,3,10,Preview first — about 10+,Swearing — Michael: “Because downsizing is a bitch.”
1,2,0102,Diversity Day,1,1,2,2,10,Mild — okay from about 10+,Sex & hookups — Michael: “You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.”
1,3,0103,Health Care,1,4,2,4,13,Skip for under 13,Nudity & bodies — Explicit body / sex-act language appears in dialogue.
1,4,0104,The Alliance,1,1,3,3,10,Preview first — about 10+,"Suicide & self-harm — Michael: “You know what? If I were allergic to dairy, I think I'd kill myself. 'Cause this is way, way too good.”"
1,5,0105,Basketball,1,2,3,3,10,Preview first — about 10+,"Sex & hookups — Pam: “My fiance has plans for us this Saturday. So I really hope that Dwight doesn't make me work. Maybe I should sleep with him? I'm kidding, kidding. Totally kidding.”"
1,6,0106,Hot Girl,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — “Dwight: Sex.”
2,1,0201,The Dundies,2,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Pam: “Oh good, I'm just in time for Ping. Jim: Yeah. Michael: [doing impression] Oh, dat wir be fwar. Ah, me so horny. Michael: Right? You know wat I'm talking 'bout.”"
2,2,0202,Sexual Harassment,2,4,3,4,13,Skip for under 13,"Sex & hookups — Phyllis: “All relationships? Eh, even a one-night stand?”"
2,3,0203,Office Olympics,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Dwight: “Actually, I do own property. My grandfather left me a 60 acre working beet farm. I run it with my cousin, Mose. We sell beets to local stores and restaurants. It's a nice little farm. Sometimes teenagers use it for sex.”"
2,4,0204,The Fire,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — Michael: “Well, I would definitely have sex with Ryan. 'Cause he is going to own his own business.”"
2,5,0205,Halloween,3,1,2,3,10,Preview first — about 10+,Nudity & bodies — Michael: “Last Halloween I came as Janet Jackson's boob.”
2,6,0206,The Fight,3,1,2,3,10,Preview first — about 10+,"Violence & injury — Dwight: “[to Kevin, who he is teaching to fight] Take this pen and stab me with it.”"
2,7,0207,The Client,3,2,1,3,10,Preview first — about 10+,"Sex & hookups — Michael: “She is a strong, soft, thoughtful, sexy woman.”"
2,8,0208,Performance Review,1,3,2,3,10,Preview first — about 10+,Sex & hookups — Kevin: “I heard they made out and had sex.”
2,9,0209,E-mail Surveillance,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Michael: “Think about this; what is the most exciting thing that can happen, on TV, or in movies, or in real life? Somebody has a gun. [gasps] That's why I always start with a gun, because you can't top it, you just can't.”"
2,10,0210,Christmas Party,3,1,1,3,10,Preview first — about 10+,"Violence & injury — Dwight: “[shooting paintball gun at target] Take that, Saddam!”"
2,11,0211,Booze Cruise,1,1,2,2,10,Mild — okay from about 10+,"Alcohol & drugs — Michael: “Well, no. But... okay, don't spoil it for everybody, all right? But we are going on a booze cruise on Lake Wallenpaupack.”"
2,12,0212,The Injury,1,1,1,1,10,Usually fine — about 10+,"Violence & injury — Michael: “No, I don't want some aspirin, yeah I'm a little fussy. Aspirin's not gonna do a damn thing. I'm sitting here with a bloody stump of a foot.”"
2,13,0213,The Secret,2,3,2,3,10,Preview first — about 10+,"Nudity & bodies — Michael: “Why do I like Hooters? Well I will give you two reasons, the boobs and the hot wings.”"
2,14,0214,The Carpet,1,1,2,2,10,Mild — okay from about 10+,"Violence & injury — Creed: “[after Michael punches him in the arm] What did you hit me for? Michael: Charley horse! Creed: What? Michael: Charley horse! Creed: You shouldn't have hit me, Michael. Michael: Oh, okay. Gah.”"
2,15,0215,Boys and Girls,1,1,3,3,10,Preview first — about 10+,Sex & hookups — Michael: “Is it good to be back. Yeah. I mean I love the guy stuff but to run an office you need men and women. You know why? Because you need to have that crazy sexual tension to keep things interesting.”
2,16,0216,Valentine's Day,1,4,2,4,13,Skip for under 13,"Sex & hookups — Kelly: “Nothing. Oh except, oh my God Jim. Last night, Ryan and I totally, finally hooked up. It was awesome.”"
2,17,0217,Dwight's Speech,2,4,1,4,13,Skip for under 13,"Sex & hookups — Michael: “It's a joke, Dwight. It's not a Sex Ed class.”"
2,18,0218,Take Your Daughter to Work Day,1,1,1,1,10,Usually fine — about 10+,
2,19,0219,Michael's Birthday,1,1,2,2,10,Mild — okay from about 10+,
2,20,0220,Drug Testing,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — Michael: “Okay, you know what, Toby? Pam, can you take this down? [Pam throws her hands up to indicate she has no notepad] In addition to Toby's urine being tested, I would like to test his blood and his hair.”"
2,21,0221,Conflict Resolution,3,1,1,3,10,Preview first — about 10+,Sex & hookups — Michael: “You are accused of making sexually suggestive remarks to Angela that made her feel uncomfortable.”
2,22,0222,Casino Night,1,2,1,2,10,Mild — okay from about 10+,Sex & hookups — Jan: “Why did I hook up with Michael?”
3,1,0301,Gay Witch Hunt,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — Jan: “You know, it's amazing to me that in this day and age, you could be so obtuse about sexual orientation.”"
3,2,0302,The Convention,1,3,3,3,10,Preview first — about 10+,"Sex & hookups — Ryan: “All right. Three pairs of pants. Three pairs of socks. Three packs of condoms. Michael: Yesh. Ryan: Uh, fun jeans. Michael: Right there. Ah. Angela: Sign. Michael: Per diem.”"
3,3,0303,The Coup,3,1,3,3,10,Preview first — about 10+,Sex & hookups — Phyllis: “Kelly: It's so sexy.”
3,4,0304,Grief Counseling,3,1,1,3,10,Preview first — about 10+,Violence & injury — Michael: “can you imagine how much blood there was?”
3,5,0305,Initiation,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — Michael: “I worked. And then I went home to my condo. And Carol came over. And then we had sex. Is that what you want to hear?”
3,6,0306,Diwali,1,2,1,2,10,Mild — okay from about 10+,Sex & hookups — Phyllis: “Meredith: Do you want to make Appletini's and watch 'Sex and the City' at my place?”
3,7,0307,Branch Closing,2,1,2,2,10,Mild — okay from about 10+,"Violence & injury — Dwight: “What's the plan? Michael: Go to New York, confront the CFO, show him he's making a mistake... save the branch. Dwight: Can I drive? Michael: No... way. Dwight: Shotgun! Michael: No. There's no one else. Dwight: Still.”"
3,8,0308,The Merger,1,4,1,4,13,Skip for under 13,"Nudity & bodies — Hannah: “[using breast pump] Take a picture. It'll last longer. Ryan: I'm sorry. It's just, it's a little distracting. Creed: Ditto that, my brother.”"
3,9,0309,The Convict,1,2,3,3,10,Preview first — about 10+,Sex & hookups — Andy: “[over phone] I am so horny.”
3,10,0310,A Benihana Christmas,3,1,2,3,10,Preview first — about 10+,Violence & injury — Dwight: “[to Pam] So can you watch this? I'm gonna get my carving knife out of the trunk.”
3,11,0311,Back From Vacation,1,1,1,1,10,Usually fine — about 10+,"Violence & injury — Jim: “Dwight, you know what, just back up, okay, that's making me uncomfortable. This is sexual harassment, by the way. Oh my God! He's got a knife!”"
3,12,0312,Traveling Salesmen,2,2,2,2,10,Mild — okay from about 10+,Sex & hookups — Harvey: “Me so horny. Me love you long tim.”
3,13,0313,The Return,2,1,1,2,10,Mild — okay from about 10+,Violence & injury — Andy: “[punches a hole in the wall] That...”
3,14,0314,Ben Franklin,2,5,1,5,16,Heavy — skip for under 16,"Sex & hookups — Michael: “[Pokes Ryan with a sex toy.] Gotcha, oh! [Phone rings.] Yes?”"
3,15,0315,Phyllis' Wedding,1,2,2,2,10,Mild — okay from about 10+,"Affairs / cheating — Dwight: “The Shrutes have their own traditions. We usually marry standing in our own graves. Makes the funerals very romantic, but the weddings are a bleak affair.”"
3,16,0316,Business School,1,2,1,2,10,Mild — okay from about 10+,Sex & hookups — Michael: “And he actually hooked up with one of the students.”
3,17,0317,Cocktails,2,1,2,2,10,Mild — okay from about 10+,Violence & injury — Dwight: “Do you ever watch Battlestar Galactica? Dan Gore: No. Dwight: No? Then you are an idiot.”
3,18,0318,The Negotiation,3,2,1,3,10,Preview first — about 10+,"Sex & hookups — Jim: “[softly] Sex, Steve Martin, Terri Hatcher.”"
3,19,0319,Safety Training,3,2,3,3,10,Preview first — about 10+,"Sex & hookups — Michael: “It's complicated with Jan. And I don't know where I stand, or what I want. The sex isn't nearly as good as it used to be.”"
3,20,0320,Product Recall,1,2,3,3,10,Preview first — about 10+,Sex & hookups — Michael: “Cartoon characters having sex?”
3,21,0321,Women's Appreciation,1,5,2,5,16,Heavy — skip for under 16,"Sex & hookups — Ryan: “Nothing - I think, uh, we all kinda thought you guys were just, like, hooking up.”"
3,22,0322,Beach Games,1,1,2,2,10,Mild — okay from about 10+,
3,23,0323,The Job,2,2,3,3,10,Preview first — about 10+,"Sex & hookups — Meredith: “You got a haircut. It's sexy, hot.”"
4,1,0401,Fun Run,3,4,1,4,13,Skip for under 13,"Sex & hookups — Kevin: “Are you kidding me, Pam and Jim are totally hooking up.”"
4,2,0402,Dunder Mifflin Infinity,3,3,1,3,10,Preview first — about 10+,"Sex & hookups — Phyllis: “You can't base who gets new clients on who you're sleeping with that week, OK?”"
4,3,0403,Launch Party,2,1,2,2,10,Mild — okay from about 10+,Violence & injury — Michael: “Alright. I'm ready to go and I'm callin' shotgun.”
4,4,0404,Money,3,3,2,3,10,Preview first — about 10+,Sex & hookups — Darryl: “It's like she only wants to hook up when Ryan comes around. It's gotten to the point where I get excited every time I see that little dude walk through the door.”
4,5,0405,Local Ad,1,1,3,3,10,Preview first — about 10+,"Swearing — Michael: “Yeah, I'm glad you called. Ryan is being a little bitch again.”"
4,6,0406,Branch Wars,3,4,2,4,13,Skip for under 13,"Sex & hookups — Oscar: “Besides having sex with men, I would say that the Finer Things Club is the gayest thing about me.”"
4,7,0407,Survivor Man,2,1,2,2,10,Mild — okay from about 10+,Nudity & bodies — Michael: “[screams] Wish I could have gone with Ryan on that cool retreat! Jan has plastic boobs!”
4,8,0408,The Deposition,1,3,2,3,10,Preview first — about 10+,Sex & hookups — Lester: “I had sex with my boss.”
4,9,0409,Dinner Party,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — Dwight: “You people. [to Michael] Come on. You're sleeping with me.”
4,10,0410,Chair Model,3,1,2,3,10,Preview first — about 10+,"Nudity & bodies — Michael: “Yeah. Yeah, and you can't see her whole body. Down here, she's got a boob job. Just... she was just crazy smart and really manipulative and I don't know.”"
4,11,0411,Night Out,2,3,2,3,10,Preview first — about 10+,Sex & hookups — Michael: “Would you have sex with Meredith?”
4,12,0412,Did I Stutter?,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Michael: “My wife likes to talk after sex, so she called me from a hotel room, and said, ""I don't respect you!"" Ahh, thoughtless.”"
4,13,0413,Job Fair,1,1,3,3,10,Preview first — about 10+,"Violence & injury — Michael: “Today I'm heading over to the job fair at Valley View High School, to find some new interns. Want to get some fresh blood. Um, euthanize this place.”"
4,14,0414,Goodbye Toby,1,2,2,2,10,Mild — okay from about 10+,Sex & hookups — Jan: “I went to a sperm bank.”
5,1,0501,Weight Loss,3,3,2,3,10,Preview first — about 10+,"Sex & hookups — Michael: “Wait a second. [removes condom from wallet, throws it to Jim] I don't want you to end up with a surprise pregnancy like me.”"
5,2,0502,Business Ethics,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — Dwight: “[raises hand] She's not a virgin, you know.”"
5,3,0503,Baby Shower,1,1,2,2,10,Mild — okay from about 10+,Sex & hookups — Jim: “[drawing two family trees on a whiteboard] Jan is about to have a baby with a sperm donor.”
5,4,0504,Crime Aid,1,3,2,3,10,Preview first — about 10+,"Sex & hookups — Michael: “In my opinion, the third date is traditionally the one where... you have sex. Does Holly feel that way? I don't know. I will probably find out tonight. If she starts having sex with me I'll know for sure.”"
5,5,0505,Employee Transfer,1,2,1,2,10,Mild — okay from about 10+,"Sex & hookups — Kelly: “Oh, I'm Carrie Bradshaw from Sex And The City.”"
5,6,0506,Customer Survey,2,1,1,2,10,Mild — okay from about 10+,"Violence & injury — Michael: “Hey, sport. Dwight: I heard someone got engaged, you dog, huh? [punches Michael's shoulder] Michael: Ow! God! Dwight: Oh, nothing can hurt you now. You're a man in love!”"
5,7,0507,Business Trip,2,4,2,4,13,Skip for under 13,Sex & hookups — Andy: “And she has the softest skin I've ever seen and I can't wait to have sex with her.”
5,8,0508,Frame Toby,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — Ryan: “Let's be adults about this. Let's have sex one more time. And if you have any extra cash, that would be amazing.”"
5,9,0509,The Surplus,1,1,2,2,10,Mild — okay from about 10+,"Nudity & bodies — Andy: “We're getting married at Schrute Farms, no matter what. I have looked at twelve venues, I have lost eight deposits, and I have seen Angela naked zero times. I am not losing another deposit.”"
5,10,0510,Moroccan Christmas,3,3,2,3,10,Preview first — about 10+,Sex & hookups — Jim: “How does that happen? King has sex with a unicorn?”
5,11,0511,The Duel,3,3,2,3,10,Preview first — about 10+,Sex & hookups — Andy: “That you're sleeping with Dwight.”
5,12,0512,Prince Family Paper,2,4,1,4,13,Skip for under 13,"Sex & hookups — Jim: “…and says Kevin Malone, I just read your online profile and there is nothing I would rather do then make out with you right now.”"
5,13,0513,Stress Relief,3,3,2,3,10,Preview first — about 10+,Sex & hookups — Kelly: “I have made a list of people that I would make out with before I would make out with Michael Scott.”
5,14,0514,Lecture Circuit 1,1,2,2,2,10,Mild — okay from about 10+,"Sex & hookups — Michael: “I'm just, I'm trying to figure out the last time that you and Jim had sex, and...”"
5,15,0515,Lecture Circuit 2,3,1,2,3,10,Preview first — about 10+,"Violence & injury — Jim: “[grunts] Okay, so far, our ideal party consists of beer, fights to the death, cupcakes, blood pudding, blood, touch football, mating, charades, and yes, horse hunting.”"
5,16,0516,Blood Drive,3,4,2,4,13,Skip for under 13,"Sex & hookups — Michael: “Yeah. And the sexy looks between you and Pam, the general sexiness, the flowers, it's creating a bit of a hostile work environment.”"
5,17,0517,Golden Ticket,1,1,2,2,10,Mild — okay from about 10+,Nudity & bodies — Lynn: “[Both laugh] Boobs.”
5,18,0518,New Boss,1,4,2,4,13,Skip for under 13,"Sex & hookups — Michael: “But Jan would mostly come by when she was super horny, and Ryan would come by to visit his parents and do laundry, so...”"
5,19,0519,Two Weeks,1,1,1,1,10,Usually fine — about 10+,"Violence & injury — Dwight: “Any really good headhunter would storm your village at sunset with overwhelming force and cut off your head with a ceremonial knife,”"
5,20,0520,Dream Team,2,1,3,3,10,Preview first — about 10+,Porn / strippers / sex work — Pam: “My hooker's here.”
5,21,0521,Michael Scott Paper Company,2,4,3,4,13,Skip for under 13,Sex & hookups — Dwight: “Not long ago we were sexual competitors.”
5,22,0522,Heavy Competition,3,2,2,3,10,Preview first — about 10+,"Sex & hookups — Jim: “Andy put down a bunch of deposits on stuff for his wedding with Angela, but then she was sleeping with Dwight for...”"
5,23,0523,Broke,2,1,1,2,10,Mild — okay from about 10+,"Violence & injury — Michael: “You know, David. I don't care if Ryan murdered his entire family he is like a son to me.”"
5,24,0524,Casual Friday,1,3,1,3,10,Preview first — about 10+,"Sex & hookups — Toby: “Well, I was in the Seminary for a year and dropped out 'cause I wanted to have sex with this girl, Cathy.”"
