season,episode,code,title,violence,sex,language,overall,age,verdict,example_1
1,1,0101,Wednesday's Child is Full of Woe,3,1,3,3,11,Preview first — about 11+,Violence & injury — attempted murder charges.
1,2,0102,Woe is the Loneliest Number,3,1,4,4,13,Skip for under 13,Sex & hookups — Most sneak in to make out.
1,3,0103,Friend or Woe,3,2,3,3,11,Preview first — about 11+,Sex & hookups — She makes a killer virgin mojito.
1,4,0104,Woe What a Night,3,2,2,3,11,Preview first — about 11+,Sex & hookups — for horny gypsy moths.
1,5,0105,You Reap What You Woe,3,1,3,3,11,Preview first — about 11+,Violence & injury — he was accused of a murder
1,6,0106,Quid Pro Woe,3,1,3,3,11,Preview first — about 11+,Violence & injury — was accused of murdering.
1,7,0107,If You Don't Woe Me By Now,3,1,2,3,11,Preview first — about 11+,Affairs / cheating — and I'm on a break.
1,8,0108,A Murder of Woes,3,1,3,3,11,Preview first — about 11+,"Nudity & bodies — I'd wake up naked,"
2,1,0201,Here We Woe Again,3,1,2,3,11,Preview first — about 11+,Violence & injury — murder of crows caw persistently
2,2,0202,The Devil You Woe,3,1,1,3,11,Preview first — about 11+,Violence & injury — murder cawing
2,3,0203,Call of the Woe,3,3,1,3,11,Preview first — about 11+,Sex & hookups — I'll be sleeping with one eye open.
2,4,0204,If These Woes Could Talk,3,1,3,3,11,Preview first — about 11+,Violence & injury — into a murderous trap?
2,5,0205,Hyde and Woe Seek,3,1,2,3,11,Preview first — about 11+,Violence & injury — until Galpin shot him.
2,6,0206,Woe Thyself,3,1,2,3,11,Preview first — about 11+,Violence & injury — for aiding and abetting a murderer.
2,7,0207,Woe Me the Money,3,1,2,3,11,Preview first — about 11+,Affairs / cheating — Medical Affairs.
2,8,0208,This Means Woe,3,1,1,3,11,Preview first — about 11+,Violence & injury — he would've turned us in for murder.
